WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Chargers,L 13 - 17,26,102,3.9,15,1,6,33,5.5,11,0,,
14,@Vikings,L 21 - 42,22,92,4.2,13,1,2,9,4.5,5,0,,
15,@Raiders,W 15 - 9,22,125,5.7,29,0,1,10,10.0,10,0,,
16,Giants,W 34 - 7,22,94,4.3,14,2,2,9,4.5,13,0,,
1,Steelers,L 10 - 18,18,68,3.8,13,0,5,43,8.6,14,0,,
2,@Eagles,W 22 - 21,14,97,6.9,19,0,4,25,6.2,13,0,0.0,0.0
3,Chiefs,L 17 - 22,16,31,1.9,7,1,2,21,10.5,17,0,0.0,0.0
4,Saints,W 26 - 24,7,28,4.0,9,0,4,46,11.5,26,0,,
5,Buccaneers,W 36 - 30,12,61,5.1,28,0,3,16,5.3,6,0,,
6,@Panthers,W 38 - 20,15,95,6.3,17,2,3,10,3.3,5,0,,
7,Seahawks,L 14 - 34,21,103,4.9,26,1,3,40,13.3,26,0,,
8,@Buccaneers,W 31 - 26,13,63,4.8,13,0,7,43,6.1,10,1,,
9,Cowboys,W 27 - 21,19,86,4.5,16,0,7,59,8.4,29,0,0.0,0.0
10,@Saints,L 17 - 20,20,116,5.8,37,2,3,28,9.3,16,0,,
11,@Broncos,L 6 - 38,12,35,2.9,9,0,4,28,7.0,15,0,,
