WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Seahawks,L 21 - 26,12.0,60.0,5.0,12.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0
14,@Dolphins,L 26 - 32,,,,,,,,,,,,
15,@Jaguars,W 32 - 25,9.0,30.0,3.3,18.0,1.0,2.0,21.0,10.5,14.0,0.0,,
16,Rams,L 9 - 19,14.0,52.0,3.7,7.0,0.0,5.0,38.0,7.6,15.0,0.0,,
1,@49ers,L 19 - 32,16.0,54.0,3.4,16.0,1.0,5.0,39.0,7.8,13.0,0.0,1.0,1.0
2,@Titans,W 24 - 17,14.0,62.0,4.4,30.0,0.0,7.0,52.0,7.4,26.0,1.0,,
3,Patriots,W 24 - 3,16.0,54.0,3.4,10.0,1.0,4.0,29.0,7.2,14.0,0.0,1.0,0.0
4,Broncos,L 9 - 10,10.0,4.0,0.4,3.0,0.0,2.0,14.0,7.0,9.0,0.0,,
5,@Vikings,L 17 - 23,9.0,23.0,2.6,10.0,0.0,3.0,14.0,4.7,6.0,0.0,,
6,Bills,L 20 - 23,18.0,113.0,6.3,42.0,0.0,5.0,56.0,11.2,24.0,0.0,,
7,@Steelers,L 15 - 37,12.0,38.0,3.2,13.0,1.0,6.0,103.0,17.2,57.0,0.0,,
8,@Patriots,L 22 - 25,16.0,80.0,5.0,16.0,0.0,1.0,9.0,9.0,9.0,0.0,1.0,0.0
9,Texans,W 21 - 13,15.0,74.0,4.9,16.0,0.0,2.0,11.0,5.5,13.0,0.0,1.0,0.0
10,@Cardinals,L 6 - 31,10.0,52.0,5.2,14.0,0.0,4.0,31.0,7.8,15.0,0.0,,
11,Colts,L 27 - 28,16.0,78.0,4.9,18.0,1.0,7.0,43.0,6.1,29.0,1.0,,
