WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Titans,W 42 - 19,16.0,103.0,6.4,40.0,1.0,1.0,6.0,6.0,6.0,0.0,,
15,@Saints,W 20 - 19,21.0,65.0,3.1,20.0,0.0,3.0,22.0,7.3,9.0,0.0,,
16,Eagles,W 36 - 33,10.0,24.0,2.4,6.0,0.0,2.0,17.0,8.5,9.0,0.0,2.0,2.0
1,@Buccaneers,L 20 - 37,12.0,40.0,3.3,7.0,1.0,3.0,49.0,16.3,32.0,0.0,,
2,Giants,W 21 - 18,17.0,133.0,7.8,40.0,0.0,1.0,3.0,3.0,3.0,0.0,,
3,@Bengals,W 38 - 33,16.0,33.0,2.1,7.0,1.0,1.0,4.0,4.0,4.0,0.0,,
4,@Cardinals,W 42 - 14,21.0,101.0,4.8,18.0,1.0,3.0,12.0,4.0,5.0,0.0,,
5,Browns,W 34 - 13,7.0,18.0,2.6,10.0,2.0,,,,,,,
6,@Ravens,L 23 - 30,,,,,,,,,,,,
7,Panthers,W 40 - 7,12.0,71.0,5.9,11.0,1.0,,,,,,,
8,Bears,W 18 - 15,16.0,65.0,4.1,19.0,0.0,1.0,11.0,11.0,11.0,0.0,,
9,@Giants,W 27 - 22,,,,,,,,,,,,
10,Steelers,L 27 - 28,,,,,,,,,,,,
11,@Eagles,L 18 - 26,16.0,63.0,3.9,18.0,1.0,1.0,9.0,9.0,9.0,0.0,,
12,Cowboys,L 26 - 34,5.0,13.0,2.6,7.0,0.0,1.0,11.0,11.0,11.0,0.0,,
