WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Buccaneers,L 23 - 26,12,43,3.6,9,0,,,,,,1.0,1.0
14,@Eagles,L 16 - 22,26,92,3.5,15,1,4.0,15.0,3.8,8.0,0.0,,
15,Cowboys,L 14 - 30,10,32,3.2,12,0,4.0,17.0,4.2,6.0,0.0,,
16,Cardinals,W 36 - 30,25,152,6.1,28,2,4.0,13.0,3.2,6.0,0.0,,
1,@Saints,L 10 - 47,6,14,2.3,7,0,,,,,,,
2,Chargers,L 3 - 26,10,64,6.4,23,0,4.0,12.0,3.0,5.0,0.0,,
3,@Raiders,W 36 - 22,21,114,5.4,14,0,5.0,55.0,11.0,20.0,1.0,,
4,Bengals,L 24 - 34,18,104,5.8,38,1,4.0,17.0,4.2,6.0,0.0,,
5,@Bears,L 10 - 36,13,97,7.5,38,1,4.0,-2.0,-0.5,1.0,0.0,1.0,1.0
6,Falcons,L 20 - 38,18,92,5.1,19,0,5.0,11.0,2.2,8.0,0.0,1.0,0.0
7,@Commanders,L 7 - 40,17,52,3.1,9,1,,,,,,,
8,@Broncos,L 14 - 28,15,56,3.7,15,0,2.0,15.0,7.5,13.0,0.0,,
9,Saints,W 23 - 22,15,72,4.8,16,2,2.0,0.0,0.0,5.0,0.0,,
10,Giants,W 20 - 17,28,153,5.5,26,1,4.0,16.0,4.0,10.0,0.0,1.0,1.0
12,Chiefs,L 27 - 30,16,58,3.6,13,1,1.0,2.0,2.0,2.0,0.0,,
