WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Bears,W 23 - 20,21.0,88.0,4.2,13.0,0.0,3.0,36.0,12.0,19.0,0.0,,
14,Packers,W 34 - 31,14.0,51.0,3.6,13.0,1.0,5.0,33.0,6.6,13.0,0.0,,
15,Bills,L 42 - 48,5.0,4.0,0.8,3.0,0.0,4.0,31.0,7.8,14.0,0.0,,
16,@Bears,W 34 - 17,,,,,,,,,,,,
1,Rams,W 26 - 20,17.0,91.0,5.4,21.0,1.0,1.0,2.0,2.0,2.0,0.0,,
2,Buccaneers,L 16 - 20,11.0,35.0,3.2,9.0,1.0,4.0,35.0,8.8,15.0,0.0,,
3,@Cardinals,W 20 - 13,23.0,105.0,4.6,16.0,1.0,3.0,17.0,5.7,9.0,0.0,,
4,Seahawks,W 42 - 29,12.0,40.0,3.3,13.0,1.0,1.0,40.0,40.0,40.0,0.0,,
6,@Cowboys,W 47 - 9,12.0,80.0,6.7,19.0,2.0,1.0,0.0,0.0,0.0,0.0,,
7,@Vikings,W 31 - 29,9.0,31.0,3.4,8.0,0.0,3.0,39.0,13.0,19.0,0.0,1.0,1.0
8,Titans,W 52 - 14,9.0,33.0,3.7,9.0,1.0,1.0,5.0,5.0,5.0,0.0,,
9,@Packers,W 24 - 14,17.0,73.0,4.3,12.0,0.0,3.0,23.0,7.7,14.0,0.0,,
10,@Texans,W 26 - 23,12.0,32.0,2.7,12.0,1.0,1.0,24.0,24.0,24.0,0.0,1.0,0.0
11,Jaguars,W 52 - 6,15.0,75.0,5.0,11.0,2.0,3.0,20.0,6.7,9.0,0.0,,
12,@Colts,W 24 - 6,8.0,37.0,4.6,13.0,1.0,3.0,36.0,12.0,16.0,0.0,0.0,0.0
