WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Eagles,L 19 - 24,19,82,4.3,19,0,3.0,29.0,9.7,16.0,0.0,,
15,@Giants,W 35 - 14,14,67,4.8,13,0,,,,,,,
16,Steelers,W 34 - 17,24,162,6.8,44,0,2.0,27.0,13.5,16.0,0.0,,
17,@Texans,W 31 - 2,27,147,5.4,20,1,2.0,18.0,9.0,14.0,0.0,,
1,@Chiefs,L 20 - 27,13,46,3.5,9,1,0.0,0.0,,0.0,0.0,,
2,Raiders,L 23 - 26,18,84,4.7,29,1,1.0,12.0,12.0,12.0,0.0,,
3,@Cowboys,W 28 - 25,25,151,6.0,29,2,1.0,23.0,23.0,23.0,0.0,,
4,Bills,W 35 - 10,24,199,8.3,87,1,3.0,10.0,3.3,5.0,1.0,1.0,0.0
5,@Bengals,W 41 - 38,15,92,6.1,51,1,1.0,4.0,4.0,4.0,0.0,,
6,Commanders,W 30 - 23,24,132,5.5,27,2,,,,,,,
7,@Buccaneers,W 41 - 31,15,169,11.3,81,0,1.0,13.0,13.0,13.0,1.0,,
8,@Browns,L 24 - 29,11,73,6.6,39,1,1.0,4.0,4.0,4.0,0.0,,
9,Broncos,W 41 - 10,23,106,4.6,20,2,1.0,27.0,27.0,27.0,0.0,1.0,0.0
10,Bengals,W 35 - 34,16,68,4.2,11,1,1.0,3.0,3.0,3.0,0.0,,
11,@Steelers,L 16 - 18,13,65,5.0,31,1,,,,,,1.0,1.0
12,@Chargers,W 30 - 23,24,140,5.8,27,0,,,,,,,
