WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Bears,W 23 - 20,9,87,9.7,28,0,2.0,17.0,8.5,13.0,0.0,1.0,1.0
14,Packers,W 34 - 31,15,43,2.9,20,0,6.0,30.0,5.0,7.0,1.0,,
15,Bills,L 42 - 48,8,31,3.9,13,1,5.0,83.0,16.6,21.0,1.0,,
16,@Bears,W 34 - 17,23,109,4.7,12,1,4.0,45.0,11.2,23.0,0.0,,
1,Rams,W 26 - 20,11,40,3.6,8,1,4.0,34.0,8.5,14.0,0.0,,
2,Buccaneers,L 16 - 20,13,84,6.5,24,0,7.0,22.0,3.1,9.0,0.0,,
3,@Cardinals,W 20 - 13,16,83,5.2,18,0,0.0,20.0,,20.0,1.0,,
4,Seahawks,W 42 - 29,14,78,5.6,20,2,,,,,,,
6,@Cowboys,W 47 - 9,12,63,5.2,15,0,3.0,28.0,9.3,20.0,0.0,,
7,@Vikings,W 31 - 29,15,116,7.7,45,2,4.0,44.0,11.0,18.0,0.0,,
8,Titans,W 52 - 14,11,127,11.6,70,1,1.0,6.0,6.0,6.0,0.0,,
9,@Packers,W 24 - 14,11,65,5.9,18,1,1.0,11.0,11.0,11.0,0.0,,
10,@Texans,W 26 - 23,19,71,3.7,20,0,2.0,37.0,18.5,33.0,0.0,,
11,Jaguars,W 52 - 6,11,69,6.3,23,1,1.0,54.0,54.0,54.0,0.0,,
12,@Colts,W 24 - 6,21,90,4.3,17,2,3.0,9.0,3.0,8.0,0.0,,
