WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Vikings,L 22 - 23,17,68,4.0,16,0,3,13,4.3,7,0,,
14,Seahawks,L 18 - 30,18,90,5.0,23,0,4,32,8.0,11,1,1.0,0.0
15,Patriots,W 30 - 17,16,110,6.9,53,2,5,28,5.6,12,0,0.0,0.0
16,@Panthers,L 30 - 36,15,117,7.8,40,1,4,49,12.2,36,0,,
17,@Rams,L 9 - 13,4,4,1.0,2,0,2,4,2.0,2,0,,
1,@Bills,L 28 - 34,16,50,3.1,20,1,3,33,11.0,22,0,,
2,Rams,W 41 - 10,21,122,5.8,22,1,1,2,2.0,2,0,1.0,0.0
3,Lions,L 13 - 20,9,17,1.9,7,0,1,8,8.0,8,0,,
4,Commanders,L 14 - 42,18,104,5.8,20,1,1,9,9.0,9,0,,
5,@49ers,W 24 - 23,19,86,4.5,14,0,2,14,7.0,15,0,,
6,@Packers,L 13 - 34,7,24,3.4,9,0,4,22,5.5,9,0,1.0,1.0
7,Chargers,W 17 - 15,19,101,5.3,14,0,2,51,25.5,33,0,1.0,0.0
8,@Dolphins,W 28 - 27,20,53,2.6,17,1,2,16,8.0,9,0,,
9,Bears,W 29 - 9,18,107,5.9,16,0,3,12,4.0,8,0,,
10,Jets,W 31 - 6,12,33,2.8,12,1,5,80,16.0,44,0,,
12,@Seahawks,L 6 - 16,7,8,1.1,4,0,5,41,8.2,11,0,,
