WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Titans,W 42 - 19,25,30,206,6.9,3,1,2,10,114.7,9,34,3.8,1,1.0,0.0
15,@Saints,W 20 - 19,25,31,226,7.3,2,0,8,37,118.6,11,66,6.0,0,1.0,0.0
16,Eagles,W 36 - 33,24,39,258,6.6,5,2,1,3,99.2,9,81,9.0,0,,
1,@Buccaneers,L 20 - 37,17,24,184,7.7,0,0,2,23,93.1,16,88,5.5,2,3.0,0.0
2,Giants,W 21 - 18,23,29,226,7.8,0,0,5,16,99.1,10,44,4.4,0,,
3,@Bengals,W 38 - 33,21,23,254,11.0,2,0,2,6,141.7,12,39,3.2,1,,
4,@Cardinals,W 42 - 14,26,30,233,7.8,1,1,0,0,96.2,8,47,5.9,1,,
5,Browns,W 34 - 13,14,25,238,9.5,1,1,3,17,85.1,11,82,7.4,0,,
6,@Ravens,L 23 - 30,24,35,269,7.7,2,0,3,16,110.3,6,22,3.7,0,,
7,Panthers,W 40 - 7,2,2,6,3.0,0,0,0,0,79.2,3,50,16.7,0,,
8,Bears,W 18 - 15,21,38,326,8.6,1,0,2,13,92.6,8,52,6.5,0,,
9,@Giants,W 27 - 22,15,22,209,9.5,2,0,0,0,128.8,8,35,4.4,0,,
10,Steelers,L 27 - 28,17,34,202,5.9,0,0,3,20,68.5,3,5,1.7,0,,
11,@Eagles,L 18 - 26,22,32,191,6.0,1,1,3,20,81.6,7,18,2.6,0,,
12,Cowboys,L 26 - 34,25,38,275,7.2,2,2,4,8,82.7,7,74,10.6,1,,
