WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Jaguars,W 23 - 20,20.0,101.0,5.0,30.0,1.0,4.0,18.0,4.5,9.0,0.0,,
15,Dolphins,W 20 - 12,12.0,23.0,1.9,5.0,0.0,5.0,33.0,6.6,15.0,0.0,,
16,@Chiefs,L 19 - 27,14.0,57.0,4.1,22.0,0.0,1.0,14.0,14.0,14.0,0.0,,
17,Ravens,L 2 - 31,9.0,26.0,2.9,8.0,0.0,2.0,13.0,6.5,10.0,0.0,,
1,@Colts,W 29 - 27,30.0,159.0,5.3,13.0,1.0,3.0,19.0,6.3,11.0,0.0,,
2,Bears,W 19 - 13,9.0,25.0,2.8,16.0,0.0,3.0,25.0,8.3,9.0,0.0,,
3,@Vikings,L 7 - 34,,,,,,,,,,,,
4,Jaguars,W 24 - 20,,,,,,,,,,,,
5,Bills,W 23 - 20,,,,,,,,,,,,
6,@Patriots,W 41 - 21,13.0,102.0,7.8,59.0,1.0,2.0,30.0,15.0,20.0,1.0,,
7,@Packers,L 22 - 24,25.0,115.0,4.6,32.0,2.0,2.0,9.0,4.5,11.0,0.0,,
8,Colts,W 23 - 20,25.0,102.0,4.1,21.0,1.0,4.0,32.0,8.0,11.0,0.0,,
9,@Jets,L 13 - 21,24.0,106.0,4.4,29.0,1.0,,,,,,,
10,Lions,L 23 - 26,25.0,46.0,1.8,8.0,1.0,2.0,44.0,22.0,36.0,0.0,,
11,@Cowboys,W 34 - 10,20.0,109.0,5.4,45.0,3.0,2.0,44.0,22.0,37.0,0.0,,
12,Titans,L 27 - 32,14.0,22.0,1.6,8.0,0.0,5.0,23.0,4.6,20.0,0.0,,
