WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Patriots,W 25 - 24,25.0,96.0,3.8,9.0,0.0,1.0,7.0,7.0,7.0,1.0,1.0,0.0
15,@Broncos,L 13 - 31,22.0,107.0,4.9,40.0,0.0,1.0,4.0,4.0,4.0,0.0,1.0,1.0
16,Titans,W 38 - 30,29.0,218.0,7.5,70.0,3.0,,,,,,,
1,Texans,L 27 - 29,16.0,48.0,3.0,7.0,1.0,,,,,,,
2,@Packers,L 10 - 16,12.0,103.0,8.6,29.0,0.0,2.0,32.0,16.0,18.0,0.0,1.0,0.0
3,Bears,W 21 - 16,23.0,110.0,4.8,29.0,2.0,1.0,25.0,25.0,25.0,0.0,,
4,Steelers,W 27 - 24,21.0,88.0,4.2,21.0,1.0,3.0,20.0,6.7,10.0,0.0,,
5,@Jaguars,L 34 - 37,,,,,,,,,,,,
6,@Titans,W 20 - 17,,,,,,,,,,,,
7,Dolphins,W 16 - 10,,,,,,,,,,,,
8,@Texans,L 20 - 23,20.0,105.0,5.2,28.0,1.0,1.0,12.0,12.0,12.0,0.0,,
9,@Vikings,L 13 - 21,13.0,48.0,3.7,13.0,0.0,3.0,11.0,3.7,11.0,0.0,,
10,Bills,L 20 - 30,21.0,114.0,5.4,58.0,0.0,2.0,8.0,4.0,6.0,0.0,,
11,@Jets,W 28 - 27,24.0,57.0,2.4,10.0,0.0,1.0,3.0,3.0,3.0,0.0,,
12,Lions,L 6 - 24,11.0,35.0,3.2,14.0,0.0,,,,,,1.0,0.0
