WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Bills,L 10 - 35,13,78,6.0,28,0,,,,,,,
1,Jets,W 32 - 19,28,147,5.2,24,1,1.0,5.0,5.0,5.0,0.0,,
2,@Vikings,L 17 - 23,20,100,5.0,22,1,1.0,4.0,4.0,4.0,0.0,1.0,0.0
3,@Rams,L 24 - 27,19,77,4.0,18,0,2.0,11.0,5.5,7.0,0.0,,
4,Patriots,W 30 - 13,24,123,5.1,25,1,2.0,37.0,18.5,24.0,0.0,0.0,0.0
5,Cardinals,L 23 - 24,14,89,6.4,34,0,1.0,9.0,9.0,9.0,0.0,1.0,1.0
6,@Seahawks,W 36 - 24,9,73,8.1,38,0,1.0,9.0,9.0,9.0,0.0,,
7,Chiefs,L 18 - 28,14,58,4.1,26,0,2.0,11.0,5.5,7.0,0.0,,
8,Cowboys,W 30 - 24,6,18,3.0,6,0,,,,,,,
10,@Buccaneers,W 23 - 20,1,5,5.0,5,0,,,,,,,
11,Seahawks,L 17 - 20,2,13,6.5,8,0,,,,,,,
12,@Packers,L 10 - 38,3,8,2.7,16,0,1.0,5.0,5.0,5.0,0.0,1.0,0.0
