WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Dolphins,W 30 - 17,19,43,2.3,11,1,4.0,74.0,18.5,49.0,0.0,,
14,@Lions,L 31 - 34,18,66,3.7,19,3,,,,,,,
15,@Seahawks,W 30 - 13,26,94,3.6,19,1,4.0,42.0,10.5,21.0,0.0,1.0,1.0
16,Saints,W 34 - 0,13,69,5.3,20,1,4.0,38.0,9.5,13.0,0.0,,
1,@Eagles,L 29 - 34,16,84,5.2,32,0,2.0,20.0,10.0,11.0,0.0,1.0,0.0
2,Colts,W 16 - 10,32,151,4.7,34,0,,,,,,1.0,1.0
3,@Titans,W 30 - 14,14,43,3.1,10,0,1.0,5.0,5.0,5.0,0.0,,
4,Vikings,L 29 - 31,9,51,5.7,13,0,4.0,27.0,6.8,9.0,0.0,,
5,@Rams,W 24 - 19,19,73,3.8,13,1,1.0,21.0,21.0,21.0,0.0,,
6,Cardinals,W 34 - 13,18,62,3.4,14,0,3.0,28.0,9.3,14.0,0.0,,
7,Texans,W 24 - 22,12,76,6.3,27,0,5.0,16.0,3.2,8.0,1.0,,
8,@Jaguars,W 30 - 27,25,127,5.1,38,2,1.0,-2.0,-2.0,-2.0,0.0,,
9,Lions,L 14 - 24,13,95,7.3,37,0,2.0,13.0,6.5,11.0,0.0,,
11,@Bears,W 20 - 19,18,76,4.2,12,1,4.0,58.0,14.5,23.0,0.0,,
12,49ers,W 38 - 10,26,106,4.1,18,3,0.0,0.0,,0.0,0.0,,
