WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Raiders,W 19 - 17,7,15,2.1,4,0,2.0,0.0,0.0,5.0,0.0,,
14,Chargers,W 19 - 17,5,16,3.2,7,0,1.0,13.0,13.0,13.0,0.0,,
15,@Browns,W 21 - 7,13,45,3.5,12,0,1.0,4.0,4.0,4.0,0.0,,
16,Texans,W 27 - 19,11,55,5.0,20,1,2.0,24.0,12.0,17.0,0.0,,
17,@Steelers,W 29 - 10,9,20,2.2,6,1,,,,,,,
4,@Chargers,W 17 - 10,14,69,4.9,10,0,2.0,16.0,8.0,9.0,0.0,,
5,Saints,W 26 - 13,27,102,3.8,8,1,1.0,15.0,15.0,15.0,0.0,,
7,@49ers,W 28 - 18,22,78,3.6,13,2,2.0,5.0,2.5,3.0,0.0,,
8,@Raiders,W 27 - 20,21,59,2.8,7,1,1.0,4.0,4.0,4.0,0.0,,
9,Buccaneers,W 30 - 24,27,106,3.9,15,1,1.0,11.0,11.0,11.0,0.0,,
10,Broncos,W 16 - 14,14,35,2.5,10,0,7.0,65.0,9.3,26.0,0.0,,
11,@Bills,L 21 - 30,14,60,4.3,17,0,,,,,,,
12,@Panthers,W 30 - 27,16,68,4.2,13,0,3.0,19.0,6.3,13.0,0.0,,
