WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Jets,W 26 - 21,16.0,49.0,3.1,11.0,0.0,2.0,-3.0,-1.5,1.0,0.0,1.0,0.0
14,@Cardinals,W 30 - 18,,,,,,,,,,,,
15,Packers,L 13 - 30,,,,,,,,,,,,
16,Vikings,L 24 - 27,8.0,31.0,3.9,11.0,0.0,8.0,28.0,3.5,8.0,0.0,,
1,Broncos,W 26 - 20,20.0,103.0,5.2,23.0,1.0,2.0,6.0,3.0,8.0,0.0,,
2,@Patriots,W 23 - 20,,,,,,,,,,,,
3,Dolphins,W 24 - 3,,,,,,,,,,,,
4,@Lions,L 29 - 42,12.0,80.0,6.7,28.0,3.0,4.0,36.0,9.0,13.0,0.0,,
5,Giants,L 20 - 29,5.0,19.0,3.8,7.0,0.0,7.0,57.0,8.1,17.0,0.0,,
6,49ers,L 24 - 36,14.0,32.0,2.3,8.0,1.0,8.0,37.0,4.6,11.0,0.0,,
7,@Falcons,W 34 - 14,14.0,69.0,4.9,20.0,1.0,2.0,24.0,12.0,17.0,1.0,,
8,Bills,L 10 - 31,9.0,12.0,1.3,5.0,0.0,4.0,33.0,8.2,17.0,0.0,0.0,0.0
9,Rams,L 20 - 26,25.0,83.0,3.3,10.0,0.0,3.0,24.0,8.0,18.0,0.0,0.0,0.0
11,@49ers,W 20 - 17,14.0,54.0,3.9,11.0,1.0,2.0,5.0,2.5,5.0,0.0,,
12,Cardinals,W 16 - 6,16.0,41.0,2.6,14.0,0.0,4.0,52.0,13.0,21.0,0.0,,
