WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Saints,W 21 - 14,15,104,6.9,17,1,1.0,9.0,9.0,9.0,0.0,,
14,Bills,W 44 - 42,29,87,3.0,12,2,2.0,10.0,5.0,6.0,0.0,,
15,@49ers,W 12 - 6,29,108,3.7,10,0,2.0,4.0,2.0,4.0,0.0,,
16,@Jets,W 19 - 9,23,122,5.3,13,1,1.0,7.0,7.0,7.0,0.0,,
17,Cardinals,W 13 - 9,13,56,4.3,18,1,3.0,16.0,5.3,6.0,0.0,,
1,@Lions,L 20 - 26,18,50,2.8,9,1,3.0,4.0,1.3,8.0,0.0,,
2,@Cardinals,L 10 - 41,12,25,2.1,9,1,4.0,27.0,6.8,10.0,0.0,,
3,49ers,W 27 - 24,24,89,3.7,13,2,2.0,27.0,13.5,15.0,1.0,,
4,@Bears,L 18 - 24,19,94,5.0,14,1,4.0,10.0,2.5,5.0,0.0,,
5,Packers,L 19 - 24,22,102,4.6,30,1,1.0,3.0,3.0,3.0,0.0,1.0,1.0
7,Raiders,W 20 - 15,21,76,3.6,14,2,,,,,,,
8,Vikings,W 30 - 20,23,97,4.2,17,0,5.0,19.0,3.8,7.0,1.0,,
9,@Seahawks,W 26 - 20,22,69,3.1,9,0,1.0,26.0,26.0,26.0,0.0,1.0,0.0
10,Dolphins,L 15 - 23,15,62,4.1,9,0,5.0,20.0,4.0,12.0,0.0,1.0,1.0
11,@Patriots,W 28 - 22,15,86,5.7,18,0,,,,,,,
12,Eagles,L 20 - 37,16,72,4.5,27,1,,,,,,2.0,1.0
