WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Panthers,W 26 - 23,11.0,76.0,6.9,38.0,0.0,1.0,2.0,2.0,2.0,0.0,,
14,Raiders,W 28 - 13,17.0,90.0,5.3,13.0,1.0,2.0,19.0,9.5,14.0,1.0,,
15,@Chargers,W 40 - 17,15.0,64.0,4.3,11.0,0.0,2.0,17.0,8.5,11.0,1.0,1.0,1.0
16,@Cowboys,L 24 - 26,3.0,10.0,3.3,4.0,0.0,7.0,50.0,7.1,17.0,0.0,1.0,1.0
1,Commanders,W 37 - 20,15.0,31.0,2.1,15.0,0.0,6.0,75.0,12.5,32.0,0.0,,
2,@Lions,W 20 - 16,10.0,18.0,1.8,5.0,0.0,1.0,5.0,5.0,5.0,0.0,,
3,Broncos,L 7 - 26,6.0,17.0,2.8,9.0,0.0,5.0,18.0,3.6,8.0,0.0,,
4,Eagles,W 33 - 16,10.0,49.0,4.9,17.0,0.0,2.0,35.0,17.5,22.0,0.0,,
5,@Falcons,L 30 - 36,10.0,72.0,7.2,56.0,0.0,3.0,-6.0,-2.0,-2.0,0.0,,
6,@Saints,W 51 - 27,,,,,,,,,,,,
7,Ravens,L 31 - 41,10.0,40.0,4.0,8.0,0.0,6.0,71.0,11.8,23.0,2.0,,
8,Falcons,L 26 - 31,6.0,29.0,4.8,8.0,0.0,5.0,38.0,7.6,18.0,1.0,1.0,1.0
9,@Chiefs,L 24 - 30,3.0,19.0,6.3,9.0,1.0,3.0,16.0,5.3,11.0,0.0,,
10,49ers,L 20 - 23,10.0,31.0,3.1,8.0,0.0,6.0,39.0,6.5,10.0,1.0,,
12,@Giants,W 30 - 7,12.0,37.0,3.1,9.0,1.0,1.0,10.0,10.0,10.0,0.0,,
