WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Colts,L 24 - 25,18.0,73.0,4.1,32.0,0.0,3.0,21.0,7.0,13.0,0.0,1.0,0.0
15,@Cardinals,L 17 - 30,13.0,69.0,5.3,15.0,0.0,1.0,16.0,16.0,16.0,0.0,,
16,@Bills,L 21 - 24,12.0,60.0,5.0,14.0,1.0,1.0,13.0,13.0,13.0,0.0,1.0,1.0
17,Chargers,L 7 - 40,2.0,1.0,0.5,5.0,0.0,0.0,0.0,,0.0,0.0,,
1,@Bengals,W 16 - 10,25.0,120.0,4.8,17.0,1.0,3.0,6.0,2.0,6.0,0.0,1.0,0.0
2,Seahawks,L 20 - 23,21.0,81.0,3.9,18.0,1.0,2.0,9.0,4.5,7.0,0.0,1.0,0.0
3,@Jets,L 3 - 24,6.0,23.0,3.8,13.0,0.0,,,,,,1.0,1.0
4,@49ers,L 13 - 30,13.0,43.0,3.3,13.0,0.0,4.0,19.0,4.8,8.0,0.0,1.0,1.0
5,Dolphins,L 10 - 15,12.0,89.0,7.4,33.0,1.0,4.0,3.0,0.8,6.0,0.0,,
6,Texans,L 21 - 41,,,,,,,,,,,,
7,@Jaguars,L 16 - 32,7.0,18.0,2.6,11.0,0.0,2.0,7.0,3.5,4.0,0.0,,
8,Jets,W 25 - 22,20.0,48.0,2.4,7.0,2.0,3.0,17.0,5.7,14.0,0.0,,
9,@Titans,L 17 - 20,10.0,16.0,1.6,5.0,1.0,5.0,38.0,7.6,12.0,1.0,0.0,0.0
10,@Bears,W 19 - 3,20.0,74.0,3.7,11.0,0.0,1.0,3.0,3.0,3.0,0.0,,
11,Rams,L 22 - 28,20.0,73.0,3.6,12.0,0.0,4.0,16.0,4.0,9.0,0.0,1.0,0.0
12,@Dolphins,L 15 - 34,8.0,13.0,1.6,9.0,0.0,0.0,0.0,,0.0,0.0,,
