WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Giants,W 27 - 20,22.0,112.0,5.1,22.0,1.0,3.0,11.0,3.7,6.0,0.0,,
14,Bengals,L 20 - 27,18.0,131.0,7.3,27.0,0.0,1.0,10.0,10.0,10.0,0.0,,
15,@Panthers,W 30 - 14,25.0,149.0,6.0,12.0,0.0,,,,,,,
16,Buccaneers,W 26 - 24,13.0,23.0,1.8,6.0,0.0,3.0,28.0,9.3,10.0,0.0,,
1,@Browns,W 33 - 17,8.0,26.0,3.2,10.0,0.0,1.0,6.0,6.0,6.0,0.0,,
2,Saints,L 19 - 44,7.0,30.0,4.3,7.0,0.0,4.0,29.0,7.2,9.0,0.0,,
3,Ravens,L 25 - 28,8.0,32.0,4.0,6.0,0.0,3.0,24.0,8.0,18.0,0.0,,
4,@Giants,W 20 - 15,11.0,46.0,4.2,9.0,0.0,1.0,15.0,15.0,15.0,1.0,,
5,@Steelers,W 20 - 17,20.0,87.0,4.4,13.0,0.0,2.0,27.0,13.5,22.0,1.0,1.0,0.0
6,Lions,L 9 - 47,5.0,25.0,5.0,12.0,0.0,5.0,30.0,6.0,15.0,0.0,,
8,@49ers,L 24 - 30,,,,,,,,,,,,
9,@Falcons,L 21 - 27,12.0,75.0,6.2,15.0,0.0,5.0,32.0,6.4,13.0,1.0,,
10,Eagles,L 6 - 34,12.0,53.0,4.4,19.0,0.0,3.0,3.0,1.0,2.0,0.0,,
11,Texans,L 10 - 34,10.0,28.0,2.8,9.0,0.0,2.0,6.0,3.0,5.0,0.0,,
12,@Commanders,W 34 - 26,19.0,86.0,4.5,9.0,0.0,3.0,12.0,4.0,10.0,0.0,1.0,1.0
