WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Ravens,W 24 - 19,23,107,4.6,25,1,2,10,5.0,5,0,1.0,0.0
14,Panthers,W 22 - 16,20,124,6.2,18,0,0,0,,0,0,,
15,Steelers,W 27 - 13,19,65,3.4,22,0,2,9,4.5,5,0,,
16,@Commanders,L 33 - 36,29,150,5.2,68,2,0,0,,0,0,,
1,Packers,W 34 - 29,24,109,4.5,34,2,2,23,11.5,18,1,0.0,0.0
2,Falcons,L 21 - 22,22,95,4.3,11,0,4,21,5.2,10,0,,
3,@Saints,W 15 - 12,17,147,8.6,65,2,4,9,2.2,3,0,,
4,@Buccaneers,L 16 - 33,10,84,8.4,59,0,2,32,16.0,27,0,,
6,Browns,W 20 - 16,18,47,2.6,10,0,2,7,3.5,7,0,,
7,@Giants,W 28 - 3,17,176,10.4,55,1,2,11,5.5,10,0,,
8,@Bengals,W 37 - 17,22,108,4.9,19,0,1,3,3.0,3,0,,
9,Jaguars,W 28 - 23,27,159,5.9,21,1,3,40,13.3,20,1,1.0,1.0
10,@Cowboys,W 34 - 6,14,66,4.7,11,0,1,12,12.0,12,0,,
11,Commanders,W 26 - 18,26,146,5.6,39,2,2,52,26.0,43,0,,
12,@Rams,W 37 - 20,26,255,9.8,72,2,4,47,11.8,31,0,,
