WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Texans,L 20 - 23,7.0,28.0,4.0,19.0,0.0,1.0,7.0,7.0,7.0,0.0,,
14,@Titans,W 10 - 6,18.0,55.0,3.1,12.0,1.0,1.0,7.0,7.0,7.0,0.0,,
15,Jets,L 25 - 32,11.0,42.0,3.8,14.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
16,@Raiders,L 14 - 19,12.0,50.0,4.2,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1,@Dolphins,L 17 - 20,12.0,73.0,6.1,26.0,0.0,,,,,,,
2,Browns,L 13 - 18,,,,,,,,,,,,
3,@Bills,L 10 - 47,2.0,9.0,4.5,7.0,0.0,,,,,,,
4,@Texans,L 20 - 24,7.0,90.0,12.9,58.0,0.0,,,,,,,
5,Colts,W 37 - 34,13.0,101.0,7.8,65.0,2.0,1.0,28.0,28.0,28.0,0.0,1.0,0.0
6,@Bears,L 16 - 35,7.0,24.0,3.4,8.0,0.0,,,,,,1.0,0.0
7,Patriots,W 32 - 16,26.0,118.0,4.5,13.0,2.0,0.0,0.0,,0.0,0.0,,
8,Packers,L 27 - 30,18.0,78.0,4.3,16.0,0.0,2.0,8.0,4.0,6.0,0.0,,
9,@Eagles,L 23 - 28,8.0,22.0,2.8,10.0,0.0,,,,,,,
10,Vikings,L 7 - 12,2.0,4.0,2.0,3.0,0.0,,,,,,,
11,@Lions,L 6 - 52,,,,,,,,,,,,
