WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Commanders,L 19 - 42,8,35,4.4,7,0,4.0,33.0,8.2,30.0,0.0,1.0,1.0
14,Jaguars,L 6 - 10,21,102,4.9,21,0,2.0,22.0,11.0,13.0,0.0,,
15,Bengals,L 27 - 37,17,45,2.6,15,1,,,,,,1.0,1.0
16,@Colts,L 30 - 38,8,35,4.4,17,0,2.0,5.0,2.5,8.0,0.0,,
1,@Bears,L 17 - 24,16,82,5.1,26,1,3.0,12.0,4.0,8.0,0.0,,
2,Jets,L 17 - 24,17,62,3.6,15,0,5.0,40.0,8.0,22.0,0.0,,
3,Packers,L 14 - 30,6,14,2.3,4,0,3.0,15.0,5.0,12.0,0.0,,
4,@Dolphins,W 31 - 12,22,88,4.0,41,1,2.0,20.0,10.0,16.0,0.0,,
6,Colts,L 17 - 20,17,93,5.5,23,1,3.0,-5.0,-1.7,1.0,0.0,,
7,@Bills,L 10 - 34,16,61,3.8,14,0,2.0,4.0,2.0,2.0,0.0,0.0,0.0
8,@Lions,L 14 - 52,20,94,4.7,17,0,3.0,23.0,7.7,17.0,0.0,,
9,Patriots,W 20 - 17,28,128,4.6,32,0,3.0,26.0,8.7,12.0,0.0,,
10,@Chargers,L 17 - 27,9,44,4.9,15,0,4.0,19.0,4.8,15.0,0.0,,
11,Vikings,L 13 - 23,9,15,1.7,4,0,2.0,14.0,7.0,10.0,0.0,,
12,@Texans,W 32 - 27,24,119,5.0,27,1,3.0,10.0,3.3,9.0,0.0,,
