WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Chargers,L 13 - 17,8.0,16.0,2.0,4.0,0.0,1.0,6.0,6.0,6.0,0.0,,
14,@Vikings,L 21 - 42,9.0,63.0,7.0,25.0,1.0,,,,,,,
15,@Raiders,W 15 - 9,12.0,43.0,3.6,19.0,0.0,,,,,,,
16,Giants,W 34 - 7,11.0,22.0,2.0,12.0,0.0,1.0,9.0,9.0,9.0,0.0,,
1,Steelers,L 10 - 18,3.0,21.0,7.0,13.0,0.0,,,,,,,
2,@Eagles,W 22 - 21,9.0,53.0,5.9,15.0,0.0,1.0,12.0,12.0,12.0,0.0,,
3,Chiefs,L 17 - 22,7.0,32.0,4.6,12.0,0.0,,,,,,,
4,Saints,W 26 - 24,8.0,60.0,7.5,15.0,0.0,2.0,20.0,10.0,13.0,0.0,,
5,Buccaneers,W 36 - 30,6.0,12.0,2.0,8.0,0.0,3.0,13.0,4.3,6.0,0.0,,
6,@Panthers,W 38 - 20,18.0,105.0,5.8,20.0,1.0,1.0,3.0,3.0,3.0,0.0,,
7,Seahawks,L 14 - 34,5.0,36.0,7.2,24.0,0.0,1.0,9.0,9.0,9.0,0.0,,
8,@Buccaneers,W 31 - 26,12.0,33.0,2.8,9.0,0.0,,,,,,,
9,Cowboys,W 27 - 21,6.0,18.0,3.0,6.0,1.0,,,,,,,
10,@Saints,L 17 - 20,11.0,59.0,5.4,24.0,0.0,,,,,,,
11,@Broncos,L 6 - 38,,,,,,1.0,-1.0,-1.0,-1.0,0.0,,
