YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New York Jets,9,,,,,,,,,,
2023,Las Vegas Raiders,17,,,,,,,,,,
2022,Las Vegas Raiders,17,3.0,-1.0,-0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Green Bay Packers,16,,,,,,,,,,
2020,Green Bay Packers,14,,,,,,,,,,
2019,Green Bay Packers,12,,,,,,,,,,
2018,Green Bay Packers,15,,,,,,,,,,
2017,Green Bay Packers,14,,,,,,,,,,
2016,Green Bay Packers,16,,,,,,,,,,
2015,Green Bay Packers,13,,,,,,,,,,
2014,Green Bay Packers,16,,,,,,,,,,
TOTAL,,159,3.0,-1.0,-0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
