YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Tampa Bay Buccaneers,12,,,,,,,,,,
2023,Tampa Bay Buccaneers,17,,,,,,,,,,
2022,Tampa Bay Buccaneers,15,,,,,,,,,,
2021,Tampa Bay Buccaneers,16,1.0,10.0,10.0,10.0,0.0,1.0,100.0,0.0,0.0,0.0
2020,Tampa Bay Buccaneers,16,,,,,,,,,,
2019,Tampa Bay Buccaneers,13,,,,,,,,,,
2018,Tampa Bay Buccaneers,16,,,,,,,,,,
2017,Tampa Bay Buccaneers,15,,,,,,,,,,
2016,Tampa Bay Buccaneers,16,,,,,,,,,,
2015,Tampa Bay Buccaneers,15,,,,,,,,,,
2014,Tampa Bay Buccaneers,15,,,,,,,,,,
TOTAL,,166,1.0,10.0,10.0,10.0,0.0,1.0,100.0,0.0,0.0,0.0
