YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Kansas City Chiefs,16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Kansas City Chiefs,15,,,,,,,,,,
2022,Kansas City Chiefs,17,2.0,5.0,2.5,4.0,0.0,1.0,50.0,0.0,0.0,0.0
2021,Kansas City Chiefs,16,2.0,3.0,1.5,4.0,1.0,1.0,50.0,0.0,0.0,0.0
2020,Kansas City Chiefs,15,,,,,,,,,,
2019,Kansas City Chiefs,16,1.0,4.0,4.0,4.0,1.0,1.0,100.0,0.0,0.0,0.0
2018,Kansas City Chiefs,16,,,,,,,,,,
2017,Kansas City Chiefs,15,2.0,7.0,3.5,4.0,0.0,2.0,100.0,0.0,0.0,0.0
2016,Kansas City Chiefs,16,1.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Kansas City Chiefs,16,,,,,,,,,,
2014,Kansas City Chiefs,16,,,,,,,,,,
2013,Kansas City Chiefs,1,,,,,,,,,,
TOTAL,,175,9.0,15.0,1.7,4.0,2.0,5.0,55.6,0.0,0.0,0.0
