YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Miami Dolphins,15,8,53,6.6,16,0,2,25.0,0,0,0
2023,Miami Dolphins,16,6,15,2.5,14,0,2,33.3,0,0,0
2022,Miami Dolphins,17,7,32,4.6,10,1,3,42.9,0,0,0
2021,Kansas City Chiefs,17,9,96,10.7,33,0,4,44.4,1,0,0
2020,Kansas City Chiefs,15,13,123,9.5,32,2,5,38.5,3,0,0
2019,Kansas City Chiefs,12,8,23,2.9,5,0,1,12.5,0,0,0
2018,Kansas City Chiefs,16,22,151,6.9,33,1,8,36.4,3,0,0
2017,Kansas City Chiefs,15,17,59,3.5,16,0,3,17.6,0,0,0
2016,Kansas City Chiefs,16,24,267,11.1,70,3,10,41.7,4,2,0
TOTAL,,139,114,819,7.2,70,7,38,33.3,11,2,0
