YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New York Jets,9,56,719,12.8,71,6,34,60.7,9,3
2023,Las Vegas Raiders,17,103,1144,11.1,46,8,59,57.3,13,2
2022,Las Vegas Raiders,17,100,1516,15.2,60,14,65,65.0,24,7
2021,Green Bay Packers,16,123,1553,12.6,59,11,84,68.3,19,4
2020,Green Bay Packers,14,115,1374,12.0,56,18,73,63.5,18,5
2019,Green Bay Packers,12,83,997,12.0,58,5,54,65.1,12,2
2018,Green Bay Packers,15,111,1386,12.5,57,13,64,57.7,18,5
2017,Green Bay Packers,14,74,885,12.0,55,10,45,60.8,8,3
2016,Green Bay Packers,16,75,997,13.3,66,12,45,60.0,17,4
2015,Green Bay Packers,13,50,483,9.7,40,1,20,40.0,6,1
2014,Green Bay Packers,16,38,446,11.7,45,3,23,60.5,5,1
TOTAL,,159,928,11500,12.4,71,101,566,61.0,149,37
