YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Tampa Bay Buccaneers,12,57,818,14.4,57,9,43,75.4,13,1
2023,Tampa Bay Buccaneers,17,79,1255,15.9,75,13,54,68.4,20,6
2022,Tampa Bay Buccaneers,15,77,1124,14.6,63,6,53,68.8,19,5
2021,Tampa Bay Buccaneers,16,74,1035,14.0,46,14,56,75.7,20,3
2020,Tampa Bay Buccaneers,16,70,1006,14.4,50,13,55,78.6,20,2
2019,Tampa Bay Buccaneers,13,67,1157,17.3,67,8,54,80.6,17,7
2018,Tampa Bay Buccaneers,16,86,1524,17.7,72,8,69,80.2,26,6
2017,Tampa Bay Buccaneers,15,71,1001,14.1,42,5,55,77.5,9,2
2016,Tampa Bay Buccaneers,16,96,1321,13.8,45,12,81,84.4,15,1
2015,Tampa Bay Buccaneers,15,74,1206,16.3,68,3,63,85.1,21,2
2014,Tampa Bay Buccaneers,15,68,1051,15.5,56,12,46,67.6,20,4
TOTAL,,166,819,12498,15.3,75,103,629,76.8,200,39
