YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Kansas City Chiefs,16,97.0,823.0,8.5,38.0,3.0,45.0,46.4,9.0,0.0
2023,Kansas City Chiefs,15,93.0,984.0,10.6,53.0,5.0,50.0,53.8,12.0,2.0
2022,Kansas City Chiefs,17,110.0,1338.0,12.2,52.0,12.0,78.0,70.9,19.0,2.0
2021,Kansas City Chiefs,16,92.0,1125.0,12.2,69.0,9.0,62.0,67.4,13.0,2.0
2020,Kansas City Chiefs,15,105.0,1416.0,13.5,45.0,11.0,79.0,75.2,23.0,2.0
2019,Kansas City Chiefs,16,97.0,1229.0,12.7,47.0,5.0,65.0,67.0,13.0,3.0
2018,Kansas City Chiefs,16,103.0,1336.0,13.0,43.0,10.0,68.0,66.0,18.0,2.0
2017,Kansas City Chiefs,15,83.0,1038.0,12.5,44.0,8.0,55.0,66.3,19.0,1.0
2016,Kansas City Chiefs,16,85.0,1125.0,13.2,80.0,4.0,55.0,64.7,14.0,3.0
2015,Kansas City Chiefs,16,72.0,875.0,12.2,42.0,5.0,40.0,55.6,10.0,1.0
2014,Kansas City Chiefs,16,67.0,862.0,12.9,34.0,5.0,45.0,67.2,15.0,0.0
2013,Kansas City Chiefs,1,,,,,,,,,
TOTAL,,175,1004.0,12151.0,12.1,80.0,77.0,642.0,63.9,165.0,18.0
