YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Miami Dolphins,15,70,834,11.9,80,6,47,67.1,12,1
2023,Miami Dolphins,16,119,1799,15.1,78,13,83,69.8,29,9
2022,Miami Dolphins,17,119,1710,14.4,64,7,77,64.7,25,7
2021,Kansas City Chiefs,17,111,1239,11.2,75,9,75,67.6,13,3
2020,Kansas City Chiefs,15,87,1276,14.7,75,15,57,65.5,20,5
2019,Kansas City Chiefs,12,58,860,14.8,57,7,39,67.2,11,6
2018,Kansas City Chiefs,16,87,1479,17.0,75,12,60,69.0,27,8
2017,Kansas City Chiefs,15,75,1183,15.8,79,7,41,54.7,15,9
2016,Kansas City Chiefs,16,61,593,9.7,49,6,31,50.8,8,2
TOTAL,,139,787,10973,13.9,80,82,510,64.8,160,50
