WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Chiefs,L 17 - 19,10,140,14.0,33,1,1.0,2.0,2.0,2.0,0.0,,
14,@Buccaneers,L 13 - 28,3,49,16.3,25,0,1.0,3.0,3.0,3.0,0.0,,
15,Falcons,L 9 - 15,3,35,11.7,22,0,,,,,,,
16,Jaguars,W 19 - 14,11,99,9.0,32,0,,,,,,,
1,@Chargers,L 10 - 22,6,58,9.7,26,0,,,,,,,
2,@Ravens,W 26 - 23,9,98,10.9,27,0,,,,,,,
3,Panthers,L 22 - 36,3,41,13.7,21,0,,,,,,,
4,Browns,W 20 - 16,2,19,9.5,13,0,1.0,12.0,12.0,12.0,0.0,,
5,@Broncos,L 18 - 34,8,97,12.1,57,1,,,,,,,
6,Steelers,L 13 - 32,9,71,7.9,18,0,,,,,,,
7,@Rams,L 15 - 20,10,93,9.3,25,0,,,,,,,
8,Chiefs,L 20 - 27,5,58,11.6,19,0,,,,,,,
9,@Bengals,L 24 - 41,5,45,9.0,22,1,,,,,,,
11,@Dolphins,L 19 - 34,13,126,9.7,23,1,1.0,-3.0,-3.0,-3.0,0.0,,
12,Broncos,L 19 - 29,4,38,9.5,13,0,,,,,,,
