WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Commanders,L 19 - 42,2,45,22.5,30,0,,,,,,,
14,Jaguars,L 6 - 10,7,59,8.4,30,0,,,,,,,
15,Bengals,L 27 - 37,3,41,13.7,21,0,1.0,19.0,19.0,19.0,0.0,,
16,@Colts,L 30 - 38,3,78,26.0,38,1,,,,,,,
1,@Bears,L 17 - 24,3,50,16.7,22,0,,,,,,,
2,Jets,L 17 - 24,4,77,19.2,40,1,1.0,10.0,10.0,10.0,1.0,,
3,Packers,L 14 - 30,1,9,9.0,9,0,,,,,,,
4,@Dolphins,W 31 - 12,1,5,5.0,5,0,1.0,10.0,10.0,10.0,0.0,,
6,Colts,L 17 - 20,0,0,,0,0,1.0,9.0,9.0,9.0,0.0,,
7,@Bills,L 10 - 34,3,42,14.0,33,0,,,,,,,
8,@Lions,L 14 - 52,10,143,14.3,47,0,1.0,3.0,3.0,3.0,0.0,1.0,1.0
9,Patriots,W 20 - 17,5,73,14.6,25,0,,,,,,,
10,@Chargers,L 17 - 27,5,84,16.8,41,2,,,,,,,
11,Vikings,L 13 - 23,4,58,14.5,21,0,,,,,,,
12,@Texans,W 32 - 27,5,93,18.6,63,0,,,,,,,
