WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Browns,W 41 - 32,6.0,102.0,17.0,32.0,0.0,,,,,,,
15,Colts,W 31 - 13,3.0,32.0,10.7,20.0,1.0,,,,,,,
17,@Bengals,L 24 - 30,5.0,55.0,11.0,15.0,1.0,,,,,,,
16,@Chargers,L 27 - 34,5.0,50.0,10.0,18.0,0.0,,,,,,,
1,@Seahawks,L 20 - 26,4.0,38.0,9.5,17.0,0.0,,,,,,,
2,Steelers,L 6 - 13,1.0,26.0,26.0,26.0,0.0,,,,,,,
3,@Buccaneers,W 26 - 7,7.0,68.0,9.7,22.0,0.0,,,,,,,
4,@Jets,W 10 - 9,3.0,60.0,20.0,29.0,1.0,,,,,,,
5,Raiders,W 34 - 18,2.0,32.0,16.0,24.0,0.0,,,,,,,
6,Chargers,L 16 - 23,4.0,53.0,13.2,20.0,1.0,,,,,,,
7,@Saints,W 33 - 10,,,,,,,,,,,,
8,Panthers,W 28 - 14,8.0,100.0,12.5,37.0,0.0,,,,,,1.0,1.0
9,@Ravens,L 10 - 41,7.0,122.0,17.4,33.0,0.0,,,,,,,
10,@Chiefs,L 14 - 16,6.0,70.0,11.7,32.0,1.0,,,,,,,
11,Falcons,W 38 - 6,7.0,78.0,11.1,23.0,0.0,,,,,,,
12,@Raiders,W 29 - 19,8.0,97.0,12.1,19.0,2.0,,,,,,,
