WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Chargers,L 13 - 17,3,20,6.7,11,0,,,,,,,
14,@Vikings,L 21 - 42,6,142,23.7,49,0,,,,,,,
15,@Raiders,W 15 - 9,0,0,,0,0,,,,,,,
16,Giants,W 34 - 7,5,82,16.4,22,0,,,,,,,
1,Steelers,L 10 - 18,1,15,15.0,15,0,,,,,,,
2,@Eagles,W 22 - 21,3,88,29.3,41,1,,,,,,,
3,Chiefs,L 17 - 22,8,66,8.2,26,0,,,,,,,
4,Saints,W 26 - 24,3,56,18.7,36,0,,,,,,,
5,Buccaneers,W 36 - 30,9,105,11.7,24,2,,,,,,,
6,@Panthers,W 38 - 20,3,38,12.7,19,0,,,,,,,
7,Seahawks,L 14 - 34,5,46,9.2,20,0,,,,,,,
8,@Buccaneers,W 31 - 26,4,86,21.5,30,1,,,,,,,
9,Cowboys,W 27 - 21,5,88,17.6,36,1,,,,,,,
10,@Saints,L 17 - 20,5,96,19.2,33,0,,,,,,,
11,@Broncos,L 6 - 38,2,27,13.5,19,0,,,,,,,
