WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Seahawks,L 21 - 26,5.0,66.0,13.2,24.0,1.0,,,,,,,
14,@Dolphins,L 26 - 32,9.0,109.0,12.1,34.0,1.0,,,,,,,
15,@Jaguars,W 32 - 25,9.0,198.0,22.0,71.0,2.0,,,,,,,
16,Rams,L 9 - 19,7.0,68.0,9.7,13.0,1.0,,,,,,,
1,@Chargers,L 10 - 22,5.0,59.0,11.8,23.0,0.0,,,,,,,
2,@Ravens,W 26 - 23,9.0,110.0,12.2,30.0,1.0,,,,,,,
3,Panthers,L 22 - 36,4.0,40.0,10.0,15.0,0.0,,,,,,,
4,Browns,W 20 - 16,,,,,,,,,,,,
5,@Broncos,L 18 - 34,,,,,,,,,,,,
6,Steelers,L 13 - 32,,,,,,,,,,,,
7,@Steelers,L 15 - 37,3.0,30.0,10.0,11.0,0.0,,,,,,,
8,@Patriots,L 22 - 25,4.0,54.0,13.5,16.0,0.0,,,,,,,
9,Texans,W 21 - 13,7.0,91.0,13.0,37.0,1.0,,,,,,,
10,@Cardinals,L 6 - 31,6.0,31.0,5.2,14.0,0.0,,,,,,,
11,Colts,L 27 - 28,6.0,72.0,12.0,24.0,0.0,,,,,,,
