WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Chargers,L 13 - 17,9,86,9.6,17,0,1.0,-3.0,-3.0,-3.0,0.0,,
14,@Vikings,L 21 - 42,5,70,14.0,20,0,,,,,,,
15,@Raiders,W 15 - 9,3,53,17.7,30,1,,,,,,,
16,Giants,W 34 - 7,5,59,11.8,19,0,,,,,,,
1,Steelers,L 10 - 18,2,15,7.5,8,0,,,,,,,
2,@Eagles,W 22 - 21,6,54,9.0,19,1,,,,,,,
3,Chiefs,L 17 - 22,6,67,11.2,14,1,,,,,,,
4,Saints,W 26 - 24,6,64,10.7,16,0,,,,,,,
5,Buccaneers,W 36 - 30,12,154,12.8,31,1,,,,,,,
6,@Panthers,W 38 - 20,6,74,12.3,24,1,,,,,,,
7,Seahawks,L 14 - 34,6,63,10.5,17,1,,,,,,,
8,@Buccaneers,W 31 - 26,4,34,8.5,13,0,,,,,,,
9,Cowboys,W 27 - 21,2,27,13.5,18,1,,,,,,,
10,@Saints,L 17 - 20,8,97,12.1,20,0,,,,,,0.0,0.0
11,@Broncos,L 6 - 38,3,61,20.3,26,0,,,,,,,
