WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Seahawks,L 21 - 26,5,41,8.2,17,0,,,,,,,
14,@Dolphins,L 26 - 32,7,114,16.3,42,0,,,,,,,
15,@Jaguars,W 32 - 25,3,56,18.7,22,1,,,,,,,
16,Rams,L 9 - 19,6,54,9.0,19,0,,,,,,,
1,@49ers,L 19 - 32,6,60,10.0,16,0,,,,,,,
2,@Titans,W 24 - 17,4,57,14.2,26,0,1.0,5.0,5.0,5.0,0.0,,
3,Patriots,W 24 - 3,5,33,6.6,9,1,,,,,,,
4,Broncos,L 9 - 10,5,41,8.2,23,0,,,,,,1.0,1.0
5,@Vikings,L 17 - 23,13,101,7.8,16,1,,,,,,,
6,Bills,L 20 - 23,8,107,13.4,24,1,,,,,,,
7,@Steelers,L 15 - 37,5,61,12.2,27,0,,,,,,,
8,@Patriots,L 22 - 25,5,113,22.6,35,0,,,,,,,
9,Texans,W 21 - 13,9,90,10.0,26,2,,,,,,,
10,@Cardinals,L 6 - 31,5,41,8.2,12,0,,,,,,,
11,Colts,L 27 - 28,4,18,4.5,7,0,,,,,,,
