WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Bills,L 10 - 35,1.0,7.0,7.0,7.0,0.0,,,,,,,
14,Bears,W 38 - 13,6.0,151.0,25.2,33.0,0.0,,,,,,,
15,Rams,L 6 - 12,4.0,61.0,15.2,33.0,0.0,,,,,,,
16,@Dolphins,L 17 - 29,8.0,106.0,13.2,28.0,0.0,,,,,,,
1,Jets,W 32 - 19,4.0,40.0,10.0,26.0,0.0,,,,,,,
2,@Vikings,L 17 - 23,7.0,76.0,10.9,25.0,1.0,,,,,,,
3,@Rams,L 24 - 27,,,,,,,,,,,,
4,Patriots,W 30 - 13,4.0,45.0,11.2,15.0,1.0,,,,,,,
5,Cardinals,L 23 - 24,8.0,64.0,8.0,15.0,1.0,,,,,,,
6,@Seahawks,W 36 - 24,5.0,58.0,11.6,29.0,2.0,,,,,,,
7,Chiefs,L 18 - 28,6.0,92.0,15.3,41.0,0.0,,,,,,,
8,Cowboys,W 30 - 24,6.0,128.0,21.3,43.0,1.0,,,,,,,
10,@Buccaneers,W 23 - 20,3.0,57.0,19.0,33.0,1.0,,,,,,,
11,Seahawks,L 17 - 20,,,,,,,,,,,,
12,@Packers,L 10 - 38,6.0,82.0,13.7,31.0,1.0,,,,,,,
