WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Chiefs,L 17 - 19,6.0,97.0,16.2,43.0,0.0,,,,,,,
14,@Buccaneers,L 13 - 28,7.0,67.0,9.6,20.0,0.0,,,,,,,
15,Falcons,L 9 - 15,5.0,59.0,11.8,22.0,0.0,,,,,,,
16,Jaguars,W 19 - 14,2.0,41.0,20.5,24.0,0.0,,,,,,,
1,@Chargers,L 10 - 22,3.0,61.0,20.3,33.0,0.0,1.0,3.0,3.0,3.0,0.0,,
2,@Ravens,W 26 - 23,4.0,29.0,7.2,13.0,0.0,,,,,,,
3,Panthers,L 22 - 36,7.0,62.0,8.9,16.0,1.0,,,,,,,
4,Browns,W 20 - 16,5.0,49.0,9.8,19.0,0.0,,,,,,,
5,@Broncos,L 18 - 34,6.0,72.0,12.0,21.0,0.0,,,,,,,
6,Steelers,L 13 - 32,,,,,,,,,,,,
7,@Rams,L 15 - 20,,,,,,,,,,,,
8,Chiefs,L 20 - 27,6.0,52.0,8.7,17.0,1.0,,,,,,,
9,@Bengals,L 24 - 41,8.0,105.0,13.1,23.0,0.0,,,,,,,
11,@Dolphins,L 19 - 34,4.0,28.0,7.0,11.0,0.0,1.0,20.0,20.0,20.0,0.0,,
12,Broncos,L 19 - 29,10.0,121.0,12.1,25.0,0.0,,,,,,,
