WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Bears,W 23 - 20,5,28,5.6,8,0,2.0,18.0,9.0,15.0,0.0,,
14,Packers,W 34 - 31,5,80,16.0,28,0,,,,,,,
15,Bills,L 42 - 48,3,37,12.3,18,1,,,,,,,
16,@Bears,W 34 - 17,5,143,28.6,82,1,1.0,7.0,7.0,7.0,0.0,,
1,Rams,W 26 - 20,5,121,24.2,52,1,1.0,13.0,13.0,13.0,0.0,,
2,Buccaneers,L 16 - 20,5,79,15.8,50,0,1.0,15.0,15.0,15.0,0.0,,
3,@Cardinals,W 20 - 13,1,9,9.0,9,0,1.0,-7.0,-7.0,-7.0,0.0,,
4,Seahawks,W 42 - 29,2,80,40.0,70,1,,,,,,,
6,@Cowboys,W 47 - 9,3,76,25.3,37,1,1.0,11.0,11.0,11.0,0.0,,
7,@Vikings,W 31 - 29,1,-4,-4.0,-4,0,,,,,,,
10,@Texans,W 26 - 23,3,53,17.7,23,0,,,,,,,
11,Jaguars,W 52 - 6,4,124,31.0,64,1,1.0,2.0,2.0,2.0,0.0,,
12,@Colts,W 24 - 6,5,64,12.8,21,0,1.0,4.0,4.0,4.0,0.0,,
