WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Bills,L 10 - 35,3.0,56.0,18.7,26.0,0.0,,,,,,,
14,Bears,W 38 - 13,7.0,90.0,12.9,39.0,2.0,,,,,,,
15,Rams,L 6 - 12,2.0,31.0,15.5,18.0,0.0,,,,,,,
16,@Dolphins,L 17 - 29,4.0,51.0,12.8,17.0,0.0,,,,,,,
1,Jets,W 32 - 19,5.0,64.0,12.8,22.0,0.0,,,,,,,
2,@Vikings,L 17 - 23,2.0,37.0,18.5,25.0,0.0,,,,,,,
3,@Rams,L 24 - 27,11.0,175.0,15.9,34.0,3.0,,,,,,,
4,Patriots,W 30 - 13,3.0,88.0,29.3,45.0,0.0,,,,,,,
5,Cardinals,L 23 - 24,1.0,13.0,13.0,13.0,0.0,,,,,,,
6,@Seahawks,W 36 - 24,3.0,27.0,9.0,13.0,0.0,,,,,,,
7,Chiefs,L 18 - 28,,,,,,,,,,,,
8,Cowboys,W 30 - 24,,,,,,,,,,,,
10,@Buccaneers,W 23 - 20,7.0,93.0,13.3,30.0,0.0,,,,,,0.0,0.0
11,Seahawks,L 17 - 20,10.0,91.0,9.1,22.0,1.0,,,,,,,
12,@Packers,L 10 - 38,5.0,40.0,8.0,20.0,0.0,,,,,,,
