WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Jets,W 26 - 21,4,74,18.5,25,0,1.0,5.0,5.0,5.0,0.0,,
14,@Cardinals,W 30 - 18,5,82,16.4,24,1,1.0,4.0,4.0,4.0,0.0,0.0,0.0
15,Packers,L 13 - 30,10,83,8.3,25,0,,,,,,,
16,Vikings,L 24 - 27,8,95,11.9,25,1,1.0,5.0,5.0,5.0,0.0,,
17,@Bears,W 6 - 3,3,32,10.7,19,0,,,,,,,
1,Broncos,W 26 - 20,2,19,9.5,10,0,,,,,,,
2,@Patriots,W 23 - 20,12,117,9.8,24,0,,,,,,,
3,Dolphins,W 24 - 3,3,39,13.0,18,0,,,,,,,
4,@Lions,L 29 - 42,8,51,6.4,11,0,,,,,,,
5,Giants,L 20 - 29,4,31,7.8,15,1,,,,,,,
6,49ers,L 24 - 36,5,53,10.6,19,0,,,,,,1.0,0.0
7,@Falcons,W 34 - 14,3,9,3.0,5,0,,,,,,,
8,Bills,L 10 - 31,6,69,11.5,18,0,,,,,,,
9,Rams,L 20 - 26,7,180,25.7,46,2,,,,,,,
11,@49ers,W 20 - 17,10,110,11.0,20,0,1.0,8.0,8.0,8.0,0.0,,
12,Cardinals,W 16 - 6,6,77,12.8,46,1,,,,,,,
