WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Broncos,L 32 - 41,9,235,26.1,70,1,,,,,,,
14,@Steelers,L 14 - 27,5,64,12.8,35,1,,,,,,,
15,Chiefs,L 7 - 21,11,108,9.8,20,0,,,,,,,
1,Cowboys,L 17 - 33,3,25,8.3,15,1,,,,,,,
2,@Jaguars,W 18 - 13,5,73,14.6,30,0,,,,,,,
3,Giants,L 15 - 21,4,27,6.8,12,0,,,,,,,
4,@Raiders,L 16 - 20,6,72,12.0,19,0,,,,,,,
5,@Commanders,L 13 - 34,1,16,16.0,16,0,,,,,,,
6,@Eagles,L 16 - 20,1,35,35.0,35,0,,,,,,,
7,Bengals,L 14 - 21,1,18,18.0,18,0,,,,,,,
8,Ravens,W 29 - 24,5,79,15.8,30,0,,,,,,,
9,Chargers,L 10 - 27,7,73,10.4,13,0,,,,,,,
11,@Saints,L 14 - 35,6,142,23.7,89,1,,,,,,,
12,Steelers,W 24 - 19,6,85,14.2,26,0,,,,,,,
16,@Bengals,L 6 - 24,2,20,10.0,15,0,,,,,,,
