WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Packers,L 17 - 30,10,113,11.3,16,0,,,,,,1.0,0.0
14,Jets,W 32 - 26,3,44,14.7,20,1,,,,,,,
15,@Texans,L 12 - 20,9,48,5.3,10,1,,,,,,,
16,49ers,W 29 - 17,6,62,10.3,22,0,,,,,,,
1,Jaguars,W 20 - 17,1,7,7.0,7,0,,,,,,,
2,Bills,L 10 - 31,6,53,8.8,15,0,,,,,,,
3,@Seahawks,L 3 - 24,2,18,9.0,13,0,,,,,,,
4,Titans,L 12 - 31,0,0,,0,0,,,,,,,
5,@Patriots,W 15 - 10,5,62,12.4,17,0,1.0,-1.0,-1.0,-1.0,0.0,,
7,@Colts,L 10 - 16,7,96,13.7,18,1,,,,,,,
8,Cardinals,L 27 - 28,4,20,5.0,12,0,,,,,,,
9,@Bills,L 27 - 30,5,46,9.2,15,0,,,,,,,
10,@Rams,W 23 - 15,3,45,15.0,33,0,,,,,,,
11,Raiders,W 34 - 19,6,101,16.8,57,2,,,,,,,
12,Patriots,W 34 - 15,9,87,9.7,14,1,1.0,0.0,0.0,0.0,0.0,,
