WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Cardinals,W 23 - 22,4.0,54.0,13.5,26.0,0.0,,,,,,,
14,Falcons,W 42 - 21,8.0,133.0,16.6,49.0,3.0,,,,,,,
15,Bears,W 30 - 12,7.0,63.0,9.0,16.0,0.0,,,,,,,
16,@Seahawks,W 27 - 24,5.0,35.0,7.0,12.0,1.0,,,,,,,
1,@Giants,W 28 - 6,3.0,35.0,11.7,16.0,0.0,,,,,,,
2,49ers,W 23 - 17,,,,,,,,,,,,
3,Texans,W 34 - 7,,,,,,,,,,,,
4,@Packers,W 31 - 29,3.0,72.0,24.0,29.0,1.0,1.0,7.0,7.0,7.0,1.0,,
5,Jets,W 23 - 17,3.0,36.0,12.0,26.0,0.0,,,,,,,
7,Lions,L 29 - 31,3.0,66.0,22.0,51.0,0.0,,,,,,,
8,@Rams,L 20 - 30,2.0,22.0,11.0,14.0,0.0,,,,,,,
9,Colts,W 21 - 13,5.0,42.0,8.4,21.0,1.0,1.0,9.0,9.0,9.0,0.0,,
10,@Jaguars,W 12 - 7,2.0,25.0,12.5,21.0,0.0,1.0,4.0,4.0,4.0,0.0,,
11,@Titans,W 23 - 13,3.0,61.0,20.3,47.0,1.0,,,,,,,
12,@Bears,W 30 - 27,8.0,162.0,20.2,69.0,1.0,,,,,,,
