WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Cardinals,W 23 - 22,7,99,14.1,30,0,,,,,,,
14,Falcons,W 42 - 21,7,132,18.9,52,2,,,,,,,
15,Bears,W 30 - 12,7,73,10.4,21,1,,,,,,,
16,@Seahawks,W 27 - 24,10,144,14.4,39,2,,,,,,,
1,@Giants,W 28 - 6,4,59,14.8,44,1,,,,,,,
2,49ers,W 23 - 17,4,133,33.2,97,1,,,,,,,
3,Texans,W 34 - 7,6,81,13.5,28,1,,,,,,,
4,@Packers,W 31 - 29,6,85,14.2,27,1,,,,,,,
5,Jets,W 23 - 17,6,92,15.3,27,0,,,,,,1.0,0.0
7,Lions,L 29 - 31,7,81,11.6,25,1,1.0,3.0,3.0,3.0,0.0,,
8,@Rams,L 20 - 30,8,115,14.4,27,0,,,,,,,
9,Colts,W 21 - 13,7,137,19.6,41,0,,,,,,,
10,@Jaguars,W 12 - 7,5,48,9.6,15,0,,,,,,,
11,@Titans,W 23 - 13,6,81,13.5,31,0,,,,,,,
12,@Bears,W 30 - 27,2,27,13.5,20,0,,,,,,,
