WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Falcons,W 17 - 13,9.0,117.0,13.0,48.0,0.0,,,,,,1.0,0.0
14,@Chiefs,L 17 - 19,,,,,,,,,,,,
15,Buccaneers,L 17 - 40,5.0,58.0,11.6,20.0,1.0,,,,,,,
17,@Patriots,W 40 - 7,8.0,94.0,11.8,40.0,2.0,,,,,,,
16,Broncos,W 34 - 27,6.0,87.0,14.5,27.0,0.0,,,,,,,
1,Raiders,W 22 - 10,5.0,39.0,7.8,11.0,1.0,,,,,,,
2,@Panthers,W 26 - 3,2.0,26.0,13.0,15.0,0.0,,,,,,,
3,@Steelers,L 10 - 20,3.0,44.0,14.7,18.0,0.0,,,,,,,
4,Chiefs,L 10 - 17,5.0,67.0,13.4,37.0,1.0,,,,,,,
6,@Broncos,W 23 - 16,4.0,43.0,10.8,15.0,0.0,,,,,,,
7,@Cardinals,L 15 - 17,5.0,46.0,9.2,21.0,0.0,,,,,,1.0,0.0
8,Saints,W 26 - 8,6.0,111.0,18.5,60.0,2.0,,,,,,,
9,@Browns,W 27 - 10,5.0,64.0,12.8,20.0,0.0,,,,,,,
10,Titans,W 27 - 17,2.0,52.0,26.0,37.0,0.0,,,,,,,
11,Bengals,W 34 - 27,6.0,123.0,20.5,28.0,0.0,,,,,,,
12,Ravens,L 23 - 30,6.0,83.0,13.8,19.0,0.0,,,,,,,
