WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Cowboys,L 20 - 27,8.0,69.0,8.6,18.0,0.0,1.0,4.0,4.0,4.0,0.0,,
14,Saints,L 11 - 14,5.0,79.0,15.8,23.0,0.0,,,,,,,
15,Ravens,L 14 - 35,10.0,82.0,8.2,23.0,1.0,,,,,,,
16,@Falcons,L 7 - 34,7.0,68.0,9.7,21.0,0.0,,,,,,,
1,Vikings,L 6 - 28,5.0,66.0,13.2,25.0,0.0,,,,,,,
2,@Commanders,L 18 - 21,10.0,127.0,12.7,28.0,1.0,,,,,,,
3,@Browns,W 21 - 15,8.0,78.0,9.8,28.0,2.0,2.0,4.0,2.0,2.0,0.0,,
4,Cowboys,L 15 - 20,12.0,115.0,9.6,39.0,0.0,1.0,-4.0,-4.0,-4.0,0.0,,
5,@Seahawks,W 29 - 20,,,,,,,,,,,,
6,Bengals,L 7 - 17,,,,,,,,,,,,
7,Eagles,L 3 - 28,4.0,41.0,10.2,14.0,0.0,,,,,,,
8,@Steelers,L 18 - 26,7.0,71.0,10.1,16.0,0.0,,,,,,,
9,Commanders,L 22 - 27,9.0,59.0,6.6,16.0,0.0,,,,,,,
10,@Panthers,L 17 - 20,6.0,50.0,8.3,19.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,,
12,Buccaneers,L 7 - 30,6.0,64.0,10.7,21.0,0.0,,,,,,1.0,0.0
