WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Panthers,W 26 - 23,8.0,118.0,14.8,27.0,1.0,,,,,,,
14,Raiders,W 28 - 13,4.0,69.0,17.2,32.0,0.0,,,,,,,
15,@Chargers,W 40 - 17,9.0,159.0,17.7,57.0,2.0,,,,,,,
16,@Cowboys,L 24 - 26,5.0,69.0,13.8,26.0,0.0,,,,,,,
1,Commanders,W 37 - 20,5.0,61.0,12.2,24.0,2.0,,,,,,,
2,@Lions,W 20 - 16,3.0,42.0,14.0,16.0,0.0,,,,,,,
3,Broncos,L 7 - 26,2.0,17.0,8.5,9.0,0.0,,,,,,,
4,Eagles,W 33 - 16,8.0,94.0,11.8,21.0,1.0,,,,,,,
5,@Falcons,L 30 - 36,5.0,62.0,12.4,23.0,2.0,,,,,,0.0,0.0
6,@Saints,W 51 - 27,2.0,34.0,17.0,22.0,0.0,,,,,,,
7,Ravens,L 31 - 41,1.0,25.0,25.0,25.0,1.0,,,,,,,
8,Falcons,L 26 - 31,,,,,,,,,,,,
9,@Chiefs,L 24 - 30,,,,,,,,,,,,
10,49ers,L 20 - 23,,,,,,,,,,,,
12,@Giants,W 30 - 7,5.0,68.0,13.6,26.0,0.0,,,,,,,
