WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Jaguars,W 23 - 20,8.0,119.0,14.9,40.0,0.0,,,,,,,
15,Dolphins,W 20 - 12,4.0,17.0,4.2,8.0,2.0,,,,,,,
16,@Chiefs,L 19 - 27,7.0,60.0,8.6,30.0,0.0,,,,,,,
17,Ravens,L 2 - 31,3.0,59.0,19.7,30.0,0.0,,,,,,,
1,@Colts,W 29 - 27,6.0,117.0,19.5,55.0,0.0,,,,,,,
2,Bears,W 19 - 13,8.0,135.0,16.9,28.0,1.0,,,,,,,
3,@Vikings,L 7 - 34,4.0,86.0,21.5,34.0,0.0,,,,,,,
4,Jaguars,W 24 - 20,12.0,151.0,12.6,26.0,1.0,,,,,,,
5,Bills,W 23 - 20,2.0,78.0,39.0,67.0,1.0,,,,,,,
10,Lions,L 23 - 26,,,,,,,,,,,,
11,@Cowboys,W 34 - 10,4.0,54.0,13.5,33.0,0.0,,,,,,,
12,Titans,L 27 - 32,5.0,92.0,18.4,56.0,1.0,,,,,,,
