WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Saints,W 21 - 14,5,56,11.2,19,1,1.0,7.0,7.0,7.0,0.0,,
14,Bills,W 44 - 42,12,162,13.5,21,1,5.0,16.0,3.2,9.0,1.0,,
15,@49ers,W 12 - 6,7,97,13.9,51,0,2.0,11.0,5.5,8.0,0.0,,
16,@Jets,W 19 - 9,8,56,7.0,27,0,,,,,,,
17,Cardinals,W 13 - 9,10,129,12.9,25,0,,,,,,,
1,@Lions,L 20 - 26,4,35,8.8,16,0,1.0,7.0,7.0,7.0,0.0,,
8,Vikings,W 30 - 20,7,106,15.1,21,0,2.0,5.0,2.5,7.0,0.0,,
9,@Seahawks,W 26 - 20,1,11,11.0,11,0,,,,,,,
10,Dolphins,L 15 - 23,9,98,10.9,21,0,,,,,,,
11,@Patriots,W 28 - 22,7,123,17.6,37,1,,,,,,,
12,Eagles,L 20 - 37,9,117,13.0,29,0,,,,,,,
