WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Titans,W 42 - 19,8,73,9.1,16,2,,,,,,,
15,@Saints,W 20 - 19,7,73,10.4,25,2,,,,,,,
16,Eagles,W 36 - 33,5,60,12.0,32,1,,,,,,,
1,@Buccaneers,L 20 - 37,2,17,8.5,11,0,,,,,,,
2,Giants,W 21 - 18,6,22,3.7,12,0,,,,,,,
3,@Bengals,W 38 - 33,4,100,25.0,55,1,,,,,,,
4,@Cardinals,W 42 - 14,7,52,7.4,15,1,,,,,,,
5,Browns,W 34 - 13,4,112,28.0,66,0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
6,@Ravens,L 23 - 30,6,53,8.8,14,2,1.0,0.0,0.0,0.0,0.0,,
7,Panthers,W 40 - 7,6,98,16.3,25,0,,,,,,,
8,Bears,W 18 - 15,5,125,25.0,61,0,,,,,,,
9,@Giants,W 27 - 22,2,19,9.5,18,2,,,,,,,
10,Steelers,L 27 - 28,5,113,22.6,54,0,,,,,,,
11,@Eagles,L 18 - 26,1,10,10.0,10,0,,,,,,,
12,Cowboys,L 26 - 34,5,102,20.4,86,1,,,,,,0.0,0.0
