WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Raiders,W 19 - 17,7,68,9.7,24,0,,,,,,,
14,Chargers,W 19 - 17,5,45,9.0,13,0,,,,,,,
15,@Browns,W 21 - 7,4,27,6.8,8,0,,,,,,,
16,Texans,W 27 - 19,5,30,6.0,14,0,,,,,,,
17,@Steelers,W 29 - 10,8,84,10.5,20,1,,,,,,,
1,Ravens,W 27 - 20,3,34,11.3,23,0,,,,,,,
2,Bengals,W 26 - 25,1,5,5.0,5,0,1.0,1.0,1.0,1.0,0.0,,
3,@Falcons,W 22 - 17,4,30,7.5,17,0,,,,,,,
4,@Chargers,W 17 - 10,7,89,12.7,38,0,,,,,,,
5,Saints,W 26 - 13,9,70,7.8,21,0,,,,,,,
7,@49ers,W 28 - 18,4,17,4.2,7,0,,,,,,,
8,@Raiders,W 27 - 20,10,90,9.0,25,1,,,,,,1.0,0.0
9,Buccaneers,W 30 - 24,14,100,7.1,20,0,,,,,,1.0,1.0
10,Broncos,W 16 - 14,8,64,8.0,22,1,,,,,,,
11,@Bills,L 21 - 30,2,8,4.0,6,0,,,,,,,
12,@Panthers,W 30 - 27,6,62,10.3,27,0,,,,,,,
