WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Vikings,L 22 - 23,12.0,96.0,8.0,14.0,0.0,,,,,,,
14,Seahawks,L 18 - 30,7.0,70.0,10.0,14.0,0.0,,,,,,,
15,Patriots,W 30 - 17,9.0,87.0,9.7,29.0,0.0,,,,,,,
16,@Panthers,L 30 - 36,3.0,20.0,6.7,11.0,0.0,,,,,,,
17,@Rams,L 9 - 13,12.0,123.0,10.2,34.0,1.0,,,,,,,
1,@Bills,L 28 - 34,5.0,30.0,6.0,8.0,0.0,,,,,,,
2,Rams,W 41 - 10,6.0,67.0,11.2,21.0,0.0,,,,,,0.0,0.0
3,Lions,L 13 - 20,3.0,25.0,8.3,9.0,0.0,,,,,,,
4,Commanders,L 14 - 42,,,,,,,,,,,,
5,@49ers,W 24 - 23,6.0,53.0,8.8,22.0,0.0,,,,,,,
6,@Packers,L 13 - 34,8.0,96.0,12.0,27.0,0.0,,,,,,,
7,Chargers,W 17 - 15,5.0,51.0,10.2,14.0,0.0,,,,,,0.0,0.0
8,@Dolphins,W 28 - 27,9.0,124.0,13.8,37.0,0.0,,,,,,,
9,Bears,W 29 - 9,3.0,35.0,11.7,15.0,0.0,1.0,2.0,2.0,2.0,1.0,,
10,Jets,W 31 - 6,4.0,71.0,17.8,23.0,0.0,,,,,,,
12,@Seahawks,L 6 - 16,12.0,133.0,11.1,20.0,0.0,,,,,,,
