WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Packers,L 17 - 30,6,83,13.8,30,1,,,,,,,
14,Jets,W 32 - 26,10,115,11.5,21,1,1.0,6.0,6.0,6.0,0.0,,
15,@Texans,L 12 - 20,2,36,18.0,21,0,,,,,,,
16,49ers,W 29 - 17,3,29,9.7,24,1,,,,,,,
1,Jaguars,W 20 - 17,7,130,18.6,80,1,,,,,,,
2,Bills,L 10 - 31,3,24,8.0,10,0,1.0,12.0,12.0,12.0,0.0,,
3,@Seahawks,L 3 - 24,3,40,13.3,17,0,,,,,,,
4,Titans,L 12 - 31,4,23,5.8,17,0,3.0,19.0,6.3,16.0,0.0,,
5,@Patriots,W 15 - 10,6,69,11.5,21,0,,,,,,,
7,@Colts,L 10 - 16,1,8,8.0,8,0,1.0,5.0,5.0,5.0,0.0,,
8,Cardinals,L 27 - 28,6,72,12.0,30,0,,,,,,,
9,@Bills,L 27 - 30,4,80,20.0,28,0,,,,,,,
10,@Rams,W 23 - 15,3,16,5.3,12,1,2.0,11.0,5.5,6.0,0.0,,
11,Raiders,W 34 - 19,7,61,8.7,18,1,,,,,,,
12,Patriots,W 34 - 15,5,48,9.6,20,0,,,,,,,
