WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Eagles,L 19 - 24,3,74,24.7,40,0,1.0,-3.0,-3.0,-3.0,0.0,,
15,@Giants,W 35 - 14,6,53,8.8,15,0,,,,,,,
16,Steelers,W 34 - 17,5,100,20.0,49,0,1.0,3.0,3.0,3.0,0.0,,
17,@Texans,W 31 - 2,2,31,15.5,27,0,,,,,,,
1,@Chiefs,L 20 - 27,6,37,6.2,19,0,2.0,14.0,7.0,8.0,0.0,,
2,Raiders,L 23 - 26,7,91,13.0,21,1,,,,,,,
3,@Cowboys,W 28 - 25,3,20,6.7,9,0,1.0,3.0,3.0,3.0,0.0,,
4,Bills,W 35 - 10,1,10,10.0,10,0,,,,,,,
5,@Bengals,W 41 - 38,7,111,15.9,26,0,1.0,9.0,9.0,9.0,0.0,,
6,Commanders,W 30 - 23,9,132,14.7,44,0,1.0,2.0,2.0,2.0,0.0,,
7,@Buccaneers,W 41 - 31,1,11,11.0,11,0,1.0,19.0,19.0,19.0,0.0,,
8,@Browns,L 24 - 29,7,115,16.4,29,0,,,,,,,
9,Broncos,W 41 - 10,5,127,25.4,53,2,,,,,,,
10,Bengals,W 35 - 34,4,34,8.5,19,0,,,,,,,
11,@Steelers,L 16 - 18,2,39,19.5,23,1,,,,,,,
12,@Chargers,W 30 - 23,5,62,12.4,25,0,,,,,,,
