Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Andre Baccellia,82,WR,ACT,0,175,2,Washington,ARI,Arizona Cardinals
Trey Benson,33,RB,ACT,0,216,2,Florida State,ARI,Arizona Cardinals
Jacoby Brissett,7,QB,ACT,0,235,10,N.C. State,ARI,Arizona Cardinals
Oscar Cardenas,45,TE,ACT,0,265,1,Texas-San Antonio,ARI,Arizona Cardinals
Michael Carter,22,RB,ACT,0,201,4,North Carolina,ARI,Arizona Cardinals
James Conner,6,RB,ACT,0,233,9,Pittsburgh,ARI,Arizona Cardinals
DeeJay Dallas,20,RB,ACT,0,214,6,Miami,ARI,Arizona Cardinals
Josiah Deguara,47,TE,ACT,0,238,5,Cincinnati,ARI,Arizona Cardinals
Emari Demercado,31,RB,ACT,0,215,3,TCU,ARI,Arizona Cardinals
Greg Dortch,4,WR,ACT,0,175,5,Wake Forest,ARI,Arizona Cardinals
Simi Fehoko,80,WR,ACT,0,218,5,Stanford,ARI,Arizona Cardinals
Bryson Green,30,WR,ACT,0,207,1,Wisconsin,ARI,Arizona Cardinals
Marvin Harrison Jr.,18,WR,ACT,0,209,2,Ohio State,ARI,Arizona Cardinals
Elijah Higgins,84,TE,ACT,0,234,3,Stanford,ARI,Arizona Cardinals
Trishton Jackson,86,WR,ACT,0,191,3,Syracuse,ARI,Arizona Cardinals
Zay Jones,17,WR,ACT,0,200,9,East Carolina,ARI,Arizona Cardinals
Bam Knight,35,RB,ACT,0,209,3,N.C. State,ARI,Arizona Cardinals
Trey McBride,85,TE,ACT,0,246,4,Colorado State,ARI,Arizona Cardinals
Kyler Murray,1,QB,ACT,0,207,7,Oklahoma,ARI,Arizona Cardinals
Tejhaun Palmer,83,WR,ACT,0,210,1,UAB,ARI,Arizona Cardinals
Tip Reiman,87,TE,ACT,0,271,2,Illinois,ARI,Arizona Cardinals
Chad Ryland,38,K,ACT,0,195,3,Maryland,ARI,Arizona Cardinals
Clayton Tune,15,QB,ACT,0,220,3,Houston,ARI,Arizona Cardinals
Travis Vokolek,81,TE,ACT,0,260,2,Nebraska,ARI,Arizona Cardinals
Quez Watkins,16,WR,ACT,0,193,5,Southern Mississippi,ARI,Arizona Cardinals
Xavier Weaver,89,WR,ACT,0,169,2,Colorado,ARI,Arizona Cardinals
Michael Wilson,14,WR,ACT,0,213,3,Stanford,ARI,Arizona Cardinals
