Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Jamal Agnew,14,WR,ACT,0,190,9,San Diego,ATL,Atlanta Falcons
Tyler Allgeier,25,RB,ACT,0,225,4,BYU,ATL,Atlanta Falcons
Chris Blair,19,WR,ACT,0,215,2,Alcorn State,ATL,Atlanta Falcons
Nate Carter,33,RB,ACT,0,202,1,Michigan State,ATL,Atlanta Falcons
Jashaun Corbin,"",RB,ACT,0,200,2,Florida State,ATL,Atlanta Falcons
Kirk Cousins,18,QB,ACT,0,205,14,Michigan State,ATL,Atlanta Falcons
Elijah Dotson,41,RB,ACT,0,202,2,Northern Colorado,ATL,Atlanta Falcons
Dylan Drummond,81,WR,ACT,0,190,1,Eastern Michigan,ATL,Atlanta Falcons
Feleipe Franks,15,TE,ACT,0,234,3,Arkansas,ATL,Atlanta Falcons
KhaDarel Hodge,4,WR,ACT,0,208,6,Prairie View A&M,ATL,Atlanta Falcons
Emory Jones,11,QB,ACT,0,210,1,Cincinnati,ATL,Atlanta Falcons
Nikola Kalinic,88,TE,ACT,0,245,2,York (Canada),ATL,Atlanta Falcons
Younghoe Koo,6,K,ACT,0,195,8,Georgia Southern,ATL,Atlanta Falcons
Lenny Krieg,46,K,ACT,0,211,1,"",ATL,Atlanta Falcons
Drake London,5,WR,ACT,0,213,4,USC,ATL,Atlanta Falcons
Jesse Matthews,86,WR,ACT,0,190,2,San Diego State,ATL,Atlanta Falcons
Ray-Ray McCloud,34,WR,ACT,0,185,8,Clemson,ATL,Atlanta Falcons
Darnell Mooney,1,WR,ACT,0,180,6,Tulane,ATL,Atlanta Falcons
Nick Nash,80,WR,ACT,0,203,1,San Jose State,ATL,Atlanta Falcons
Michael Penix Jr.,9,QB,ACT,0,220,2,Washington,ATL,Atlanta Falcons
Kyle Pitts,8,TE,ACT,0,250,5,Florida,ATL,Atlanta Falcons
Makai Polk,83,WR,ACT,0,197,1,Mississippi State,ATL,Atlanta Falcons
Teagan Quitoriano,85,TE,ACT,0,259,4,Oregon State,ATL,Atlanta Falcons
Bijan Robinson,7,RB,ACT,0,215,3,Texas,ATL,Atlanta Falcons
David Sills,87,WR,ACT,0,211,3,West Virginia,ATL,Atlanta Falcons
Joshua Simon,47,TE,ACT,0,195,1,South Carolina,ATL,Atlanta Falcons
Quincy Skinner Jr.,36,WR,ACT,0,205,1,Vanderbilt,ATL,Atlanta Falcons
Easton Stick,12,QB,ACT,0,217,6,North Dakota State,ATL,Atlanta Falcons
Carlos Washington,26,RB,ACT,0,210,1,Southeastern Louisiana,ATL,Atlanta Falcons
Casey Washington,82,WR,ACT,0,205,2,Illinois,ATL,Atlanta Falcons
Charlie Woerner,89,TE,ACT,0,250,6,Georgia,ATL,Atlanta Falcons
