Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Rasheen Ali,26,RB,ACT,0,212,2,Marshall,BAL,Baltimore Ravens
Mark Andrews,89,TE,ACT,0,250,8,Oklahoma,BAL,Baltimore Ravens
Jahmal Banks,86,WR,ACT,0,218,1,Nebraska,BAL,Baltimore Ravens
Rashod Bateman,7,WR,ACT,0,195,5,Minnesota,BAL,Baltimore Ravens
Malik Cunningham,12,WR,ACT,0,186,2,Louisville,BAL,Baltimore Ravens
Zay Flowers,4,WR,ACT,0,175,3,Boston College,BAL,Baltimore Ravens
Xavier Guillory,87,WR,ACT,0,203,1,Arizona State,BAL,Baltimore Ravens
Derrick Henry,22,RB,ACT,0,247,10,Alabama,BAL,Baltimore Ravens
Justice Hill,43,RB,ACT,0,195,7,Oklahoma State,BAL,Baltimore Ravens
DeAndre Hopkins,10,WR,ACT,0,218,13,Clemson,BAL,Baltimore Ravens
John Hoyland,5,K,ACT,0,200,1,Wyoming,BAL,Baltimore Ravens
Lamar Jackson,8,QB,ACT,0,205,8,Louisville,BAL,Baltimore Ravens
Keith Kirkwood,18,WR,ACT,0,210,5,Temple,BAL,Baltimore Ravens
Charlie Kolar,88,TE,ACT,0,267,4,Iowa State,BAL,Baltimore Ravens
Devin Leary,13,QB,ACT,0,215,1,Kentucky,BAL,Baltimore Ravens
Isaiah Likely,80,TE,ACT,0,247,4,Coastal Carolina,BAL,Baltimore Ravens
Tyler Loop,33,K,ACT,0,191,1,Arizona,BAL,Baltimore Ravens
Marcus Major,36,RB,ACT,0,213,1,Minnesota,BAL,Baltimore Ravens
Anthony Miller,6,WR,ACT,0,190,6,Memphis,BAL,Baltimore Ravens
Keaton Mitchell,34,RB,ACT,0,191,3,East Carolina,BAL,Baltimore Ravens
Zaire Mitchell-Paden,84,TE,ACT,0,257,1,Florida Atlantic,BAL,Baltimore Ravens
Sam Pitz,85,TE,ACT,0,248,1,Duluth/University of Minnesota,BAL,Baltimore Ravens
Cooper Rush,15,QB,ACT,0,225,8,Central Michigan,BAL,Baltimore Ravens
Dayton Wade,82,WR,ACT,0,184,1,Mississippi,BAL,Baltimore Ravens
Devontez Walker,81,WR,ACT,0,198,2,North Carolina,BAL,Baltimore Ravens
Tylan Wallace,16,WR,ACT,0,202,5,Oklahoma State,BAL,Baltimore Ravens
LaJohntay Wester,83,WR,ACT,0,170,1,Colorado,BAL,Baltimore Ravens
