Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Kelly Akharaiyi,87,WR,ACT,0,200,1,Mississippi State,BUF,Buffalo Bills
Josh Allen,17,QB,ACT,0,237,8,Wyoming,BUF,Buffalo Bills
Tyler Bass,2,K,ACT,0,183,6,Georgia Southern,BUF,Buffalo Bills
Shane Buechele,6,QB,ACT,0,210,4,SMU,BUF,Buffalo Bills
Keon Coleman,"",WR,ACT,0,215,2,Florida State,BUF,Buffalo Bills
James Cook,4,RB,ACT,0,190,4,Georgia,BUF,Buffalo Bills
Zach Davidson,84,TE,ACT,0,251,2,Central Missouri,BUF,Buffalo Bills
Ray Davis,22,RB,ACT,0,220,2,Kentucky,BUF,Buffalo Bills
Darrynton Evans,21,RB,ACT,0,203,6,Appalachian State,BUF,Buffalo Bills
Frank Gore Jr.,20,RB,ACT,0,195,1,Southern Mississippi,BUF,Buffalo Bills
Stephen Gosnell,89,WR,ACT,0,198,1,Virginia Tech,BUF,Buffalo Bills
KJ Hamler,19,WR,ACT,0,178,4,Penn State,BUF,Buffalo Bills
Jackson Hawes,85,TE,ACT,0,253,1,Georgia Tech,BUF,Buffalo Bills
Ty Johnson,26,RB,ACT,0,210,7,Maryland,BUF,Buffalo Bills
Dalton Kincaid,86,TE,ACT,0,240,3,Utah,BUF,Buffalo Bills
Dawson Knox,88,TE,ACT,0,254,7,Mississippi,BUF,Buffalo Bills
Keleki Latu,83,TE,ACT,0,244,1,Washington,BUF,Buffalo Bills
Elijah Moore,18,WR,ACT,0,180,5,Mississippi,BUF,Buffalo Bills
Josh Palmer,5,WR,ACT,0,210,5,Tennessee,BUF,Buffalo Bills
Kaden Prather,81,WR,ACT,0,204,1,Maryland,BUF,Buffalo Bills
Curtis Samuel,1,WR,ACT,0,195,9,Ohio State,BUF,Buffalo Bills
Khalil Shakir,10,WR,ACT,0,190,4,Boise State,BUF,Buffalo Bills
Tyrell Shavers,80,WR,ACT,0,211,1,San Diego State,BUF,Buffalo Bills
Laviska Shenault Jr.,15,WR,ACT,0,227,6,Colorado,BUF,Buffalo Bills
Mitchell Trubisky,11,QB,ACT,0,222,9,North Carolina,BUF,Buffalo Bills
Jalen Virgil,13,WR,ACT,0,210,4,Appalachian State,BUF,Buffalo Bills
Mike White,14,QB,ACT,0,220,6,Western Kentucky,BUF,Buffalo Bills
Kristian Wilkerson,82,WR,ACT,0,214,3,Southeast Missouri State,BUF,Buffalo Bills
