Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Emani Bailey,39,RB,ACT,0,202,1,TCU,CAR,Carolina Panthers
Raheem Blackshear,3,RB,ACT,0,190,4,Virginia Tech,CAR,Carolina Panthers
Jonathon Brooks,24,RB,PUP,0,207,2,Texas,CAR,Carolina Panthers
Dan Chisena,88,WR,ACT,0,202,5,Penn State,CAR,Carolina Panthers
Jalen Coker,18,WR,ACT,0,213,2,Holy Cross,CAR,Carolina Panthers
Dominique Dafney,46,TE,ACT,0,235,2,Indiana State,CAR,Carolina Panthers
Andy Dalton,14,QB,ACT,0,220,15,TCU,CAR,Carolina Panthers
Rico Dowdle,5,RB,ACT,0,215,6,South Carolina,CAR,Carolina Panthers
Trevor Etienne,23,RB,ACT,0,198,1,Georgia,CAR,Carolina Panthers
Mitchell Evans,84,TE,ACT,0,260,1,Notre Dame,CAR,Carolina Panthers
Ryan Fitzgerald,35,K,ACT,0,193,1,Florida State,CAR,Carolina Panthers
Ethan Garbers,10,QB,ACT,0,207,1,UCLA,CAR,Carolina Panthers
Jacolby George,80,WR,ACT,0,172,1,Miami,CAR,Carolina Panthers
Jimmy Horn Jr.,15,WR,ACT,0,171,1,Colorado,CAR,Carolina Panthers
Chuba Hubbard,30,RB,ACT,0,210,5,Oklahoma State,CAR,Carolina Panthers
Kobe Hudson,86,WR,ACT,0,193,1,UCF,CAR,Carolina Panthers
Xavier Legette,17,WR,ACT,0,227,2,South Carolina,CAR,Carolina Panthers
T.J. Luther,15,WR,ACT,0,195,1,Gardner-Webb,CAR,Carolina Panthers
Kayron Lynch-Adams,34,RB,ACT,0,215,1,Michigan State,CAR,Carolina Panthers
Tetairoa McMillan,4,WR,ACT,0,212,1,Arizona,CAR,Carolina Panthers
James Mitchell,84,TE,ACT,0,249,3,Virginia Tech,CAR,Carolina Panthers
David Moore,83,WR,ACT,0,219,7,East Central,CAR,Carolina Panthers
Moose Muhammad III,"",WR,RES,0,195,1,Texas A&M,CAR,Carolina Panthers
Bryce Pierre,45,TE,ACT,0,255,1,UCLA,CAR,Carolina Panthers
Jack Plummer,16,QB,ACT,0,215,1,Louisville,CAR,Carolina Panthers
Hunter Renfrow,13,WR,ACT,0,185,6,Clemson,CAR,Carolina Panthers
Ja'Tavion Sanders,"",TE,ACT,0,252,2,Texas,CAR,Carolina Panthers
Adam Thielen,19,WR,ACT,0,195,12,Minnesota State,CAR,Carolina Panthers
Brycen Tremayne,87,WR,ACT,0,212,1,Stanford,CAR,Carolina Panthers
Tommy Tremble,82,TE,ACT,0,250,5,Notre Dame,CAR,Carolina Panthers
Matthew Wright,37,K,ACT,0,174,4,UCF,CAR,Carolina Panthers
Bryce Young,9,QB,ACT,0,204,3,Alabama,CAR,Carolina Panthers
