Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Maurice Alexander,13,WR,ACT,0,180,1,Florida International,CHI,Chicago Bears
Tyson Bagent,17,QB,ACT,0,213,3,Shepherd,CHI,Chicago Bears
Miles Boykin,84,WR,ACT,0,220,6,Notre Dame,CHI,Chicago Bears
Luther Burden III,87,WR,UDF,0,206,1,Missouri,CHI,Chicago Bears
Stephen Carlson,88,TE,ACT,0,240,4,Princeton,CHI,Chicago Bears
Devin Duvernay,12,WR,ACT,0,200,6,Texas,CHI,Chicago Bears
Deion Hankins,35,RB,ACT,0,222,1,Texas State-San Marcos,CHI,Chicago Bears
Travis Homer,21,RB,ACT,0,202,7,Miami,CHI,Chicago Bears
John Jackson,82,WR,ACT,0,215,1,Nevada,CHI,Chicago Bears
Roschon Johnson,23,RB,ACT,0,225,3,Texas,CHI,Chicago Bears
Case Keenum,11,QB,ACT,0,206,13,Houston,CHI,Chicago Bears
Jonathan Kim,27,K,ACT,0,227,1,Michigan State,CHI,Chicago Bears
Cole Kmet,85,TE,ACT,0,260,6,Notre Dame,CHI,Chicago Bears
Colston Loveland,84,TE,ACT,0,248,1,Michigan,CHI,Chicago Bears
Kyle Monangai,25,RB,ACT,0,210,1,Rutgers,CHI,Chicago Bears
DJ Moore,2,WR,ACT,0,210,8,Maryland,CHI,Chicago Bears
Jordan Murray,87,TE,ACT,0,240,1,Hawaii,CHI,Chicago Bears
Rome Odunze,15,WR,ACT,0,215,2,Washington,CHI,Chicago Bears
Austin Reed,16,QB,ACT,0,220,1,Western Kentucky,CHI,Chicago Bears
JP Richardson,26,WR,ACT,0,192,1,TCU,CHI,Chicago Bears
Cairo Santos,8,K,ACT,0,175,12,Tulane,CHI,Chicago Bears
Tyler Scott,10,WR,ACT,0,185,3,Cincinnati,CHI,Chicago Bears
Durham Smythe,81,TE,ACT,0,248,8,Notre Dame,CHI,Chicago Bears
D'Andre Swift,4,RB,ACT,0,215,6,Georgia,CHI,Chicago Bears
Samori Toure,83,WR,ACT,0,191,3,Nebraska,CHI,Chicago Bears
Jahdae Walker,20,WR,ACT,0,199,1,Texas A&M,CHI,Chicago Bears
Ian Wheeler,33,RB,ACT,0,205,2,Howard,CHI,Chicago Bears
Caleb Williams,18,QB,ACT,0,215,2,USC,CHI,Chicago Bears
Joel Wilson,86,TE,ACT,0,250,1,Central Michigan,CHI,Chicago Bears
Olamide Zaccheaus,14,WR,ACT,0,193,7,Virginia,CHI,Chicago Bears
