Player,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name
Erick All,83,TE,ACT,0,255,2,Iowa,CIN,Cincinnati Bengals
Gary Brightwell,32,RB,ACT,0,218,4,Arizona,CIN,Cincinnati Bengals
Tahj Brooks,25,RB,ACT,0,230,1,Texas Tech,CIN,Cincinnati Bengals
Chase Brown,30,RB,ACT,0,211,3,Illinois,CIN,Cincinnati Bengals
Jake Browning,6,QB,ACT,0,210,3,Washington,CIN,Cincinnati Bengals
Cole Burgess,17,WR,ACT,0,198,1,Cortland State Of New York,CIN,Cincinnati Bengals
Joe Burrow,9,QB,ACT,0,215,6,LSU,CIN,Cincinnati Bengals
Jermaine Burton,81,WR,ACT,0,204,2,Alabama,CIN,Cincinnati Bengals
Ja'Marr Chase,1,WR,ACT,0,205,5,LSU,CIN,Cincinnati Bengals
Quali Conley,40,RB,ACT,0,211,1,Arizona,CIN,Cincinnati Bengals
Mike Gesicki,88,TE,ACT,0,245,8,Penn State,CIN,Cincinnati Bengals
Cam Grandy,85,TE,ACT,0,253,2,Illinois State,CIN,Cincinnati Bengals
Tee Higgins,5,WR,ACT,0,219,6,Clemson,CIN,Cincinnati Bengals
Tanner Hudson,87,TE,ACT,0,241,6,Southern Arkansas,CIN,Cincinnati Bengals
Andrei Iosivas,80,WR,ACT,0,210,3,Princeton,CIN,Cincinnati Bengals
Charlie Jones,15,WR,ACT,0,190,3,Purdue,CIN,Cincinnati Bengals
Jamoi Mayes,16,WR,ACT,0,206,1,Cincinnati,CIN,Cincinnati Bengals
Tanner McLachlan,84,TE,ACT,0,245,2,Arizona,CIN,Cincinnati Bengals
Evan McPherson,2,K,ACT,0,185,5,Florida,CIN,Cincinnati Bengals
Kendall Milton,36,RB,ACT,0,230,1,Georgia,CIN,Cincinnati Bengals
Jordan Moore,14,WR,ACT,0,191,1,Duke,CIN,Cincinnati Bengals
Zack Moss,31,RB,ACT,0,220,6,Utah,CIN,Cincinnati Bengals
Rashod Owens,12,WR,ACT,0,218,1,Oklahoma State,CIN,Cincinnati Bengals
Samaje Perine,34,RB,ACT,0,240,9,Oklahoma,CIN,Cincinnati Bengals
Kendric Pryor,19,WR,ACT,0,189,2,Wisconsin,CIN,Cincinnati Bengals
Drew Sample,89,TE,ACT,0,260,7,Washington,CIN,Cincinnati Bengals
Kole Taylor,86,TE,ACT,0,250,1,West Virginia,CIN,Cincinnati Bengals
Payton Thorne,10,QB,ACT,0,207,1,Auburn,CIN,Cincinnati Bengals
Mitchell Tinsley,82,WR,ACT,0,205,2,Penn State,CIN,Cincinnati Bengals
Isaiah Williams,18,WR,ACT,0,185,2,Illinois,CIN,Cincinnati Bengals
Logan Woodside,11,QB,ACT,0,210,5,Toledo,CIN,Cincinnati Bengals
